"","country","entropy","entropy-rank"
"1","Argentina",1.20026025004281,8
"2","Bahamas",0.748451270324662,1
"3","Belize",1.16260801837493,5
"4","Bolivia",1.34233730066213,17
"5","Brazil",1.30587096036951,16
"6","Chile",1.27576656412416,13
"7","Colombia",1.37776457118346,20
"8","Costa.Rica",1.23341658677806,10
"9","Cuba",1.24782203964748,11
"10","Ecuador",1.40170071390931,21
"11","El.Salvador",1.12465865957427,3
"12","Guatemala",1.19127402492452,6
"13","Honduras",1.36150360462889,19
"14","Jamaica",1.12944845347838,4
"15","Mexico",1.28131877774979,14
"16","Nicaragua",0.917560459668458,2
"17","Panama",1.19465303641679,7
"18","Paraguay",1.34515295327038,18
"19","Peru",1.29429737230078,15
"20","Uruguay",1.27480501242888,12
"21","Venezuela",1.20602523417155,9
