"","country","entropy","entropy-rank"
"1","Argentina",3.33229256258248,17
"2","Bahamas",1.84341545721612,1
"3","Belize",3.36484472232287,20
"4","Bolivia",3.13813821310589,10
"5","Brazil",3.32041425629516,15
"6","Chile",3.35421659792616,19
"7","Colombia",3.30661566172984,14
"8","Costa.Rica",3.13497249589578,9
"9","Cuba",2.74937576293288,5
"10","Ecuador",3.14824473630983,11
"11","El.Salvador",2.62001305916334,3
"12","Guatemala",3.20927571298789,12
"13","Honduras",2.82924481350674,6
"14","Jamaica",2.20416505195741,2
"15","Mexico",3.32066251963845,16
"16","Nicaragua",2.69015285083192,4
"17","Panama",3.09908336749997,8
"18","Paraguay",2.90302903636873,7
"19","Peru",3.26130851381039,13
"20","Uruguay",3.33343593727959,18
"21","Venezuela",3.3931883959876,21
