country,type,topic,sum,prop
Argentina,theme,air quality,5.164726754,0.003057861
Bahamas,theme,air quality,0.000106644,0.000106644
Belize,theme,air quality,0.200427425,0.002745581
Bolivia,theme,air quality,1.058026128,0.004464245
Brazil,theme,air quality,28.77575008,0.005119329
Chile,theme,air quality,6.08079826,0.005704314
Colombia,theme,air quality,1.353128199,0.003676979
Costa.Rica,theme,air quality,1.384458754,0.007565348
Cuba,theme,air quality,0.008031725,0.002007931
Ecuador,theme,air quality,0.792089247,0.002901426
El.Salvador,theme,air quality,0.004020397,0.00050255
Guatemala,theme,air quality,0.018178345,0.00121189
Honduras,theme,air quality,0.00069847,0.000232823
Jamaica,theme,air quality,0.00038956,0.00038956
Mexico,theme,air quality,11.73021917,0.005135823
Nicaragua,theme,air quality,0.000855432,0.000855432
Panama,theme,air quality,0.19104118,0.001721092
Paraguay,theme,air quality,0.026530143,0.000803944
Peru,theme,air quality,1.012478566,0.002852052
Uruguay,theme,air quality,0.529221671,0.003600147
Venezuela,theme,air quality,2.147105584,0.015014724
Argentina,theme,seasonal variability,8.066332812,0.004775804
Bahamas,theme,seasonal variability,0.002666098,0.002666098
Belize,theme,seasonal variability,0.561423088,0.007690727
Bolivia,theme,seasonal variability,3.11713347,0.013152462
Brazil,theme,seasonal variability,52.00420223,0.009251771
Chile,theme,seasonal variability,4.163746371,0.003905953
Colombia,theme,seasonal variability,3.006797572,0.008170646
Costa.Rica,theme,seasonal variability,2.863915173,0.01564981
Cuba,theme,seasonal variability,0.032468948,0.008117237
Ecuador,theme,seasonal variability,2.067970204,0.007574982
El.Salvador,theme,seasonal variability,0.183213357,0.02290167
Guatemala,theme,seasonal variability,0.107317675,0.007154512
Honduras,theme,seasonal variability,0.018561155,0.006187052
Jamaica,theme,seasonal variability,0.00038956,0.00038956
Mexico,theme,seasonal variability,17.45207026,0.007641011
Nicaragua,theme,seasonal variability,0.000855432,0.000855432
Panama,theme,seasonal variability,3.480341651,0.031354429
Paraguay,theme,seasonal variability,0.296757313,0.008992646
Peru,theme,seasonal variability,2.378674504,0.006700492
Uruguay,theme,seasonal variability,0.509874606,0.003468535
Venezuela,theme,seasonal variability,2.206437883,0.015429636
Argentina,theme,plants,35.77887387,0.021183466
Bahamas,theme,plants,0.004265757,0.004265757
Belize,theme,plants,0.908074819,0.012439381
Bolivia,theme,plants,1.777730441,0.007500972
Brazil,theme,plants,91.19175728,0.016223405
Chile,theme,plants,20.63582103,0.019358181
Colombia,theme,plants,6.161035171,0.016741943
Costa.Rica,theme,plants,4.263887645,0.023299932
Cuba,theme,plants,0.009591087,0.002397772
Ecuador,theme,plants,3.053663751,0.011185582
El.Salvador,theme,plants,0.05736773,0.007170966
Guatemala,theme,plants,0.073608218,0.004907215
Honduras,theme,plants,0.309611723,0.103203908
Jamaica,theme,plants,0.00077912,0.00077912
Mexico,theme,plants,36.94586246,0.016175947
Nicaragua,theme,plants,0.001710864,0.001710864
Panama,theme,plants,6.633684066,0.05976292
Paraguay,theme,plants,0.068003374,0.002060708
Peru,theme,plants,2.542635989,0.007162355
Uruguay,theme,plants,1.409274334,0.0095869
Venezuela,theme,plants,5.036160897,0.035217908
Argentina,theme,fauna,34.48509734,0.020417464
Bahamas,theme,fauna,0.002879386,0.002879386
Belize,theme,fauna,2.945630116,0.040351097
Bolivia,theme,fauna,3.537857802,0.01492767
Brazil,theme,fauna,107.4248741,0.019111346
Chile,theme,fauna,13.02182318,0.012215594
Colombia,theme,fauna,13.74287695,0.037344774
Costa.Rica,theme,fauna,3.567880202,0.019496613
Cuba,theme,fauna,0.011763311,0.002940828
Ecuador,theme,fauna,3.108433737,0.011386204
El.Salvador,theme,fauna,0.019820669,0.002477584
Guatemala,theme,fauna,0.608287031,0.040552469
Honduras,theme,fauna,0.010753468,0.003584489
Jamaica,theme,fauna,0.003765745,0.003765745
Mexico,theme,fauna,34.58791475,0.01514357
Nicaragua,theme,fauna,0.005988024,0.005988024
Panama,theme,fauna,2.040686158,0.01838456
Paraguay,theme,fauna,0.146774183,0.004447703
Peru,theme,fauna,6.641459225,0.018708336
Uruguay,theme,fauna,4.829394581,0.032853024
Venezuela,theme,fauna,2.30215408,0.01609898
Argentina,theme,chemistry,94.29531598,0.05582908
Bahamas,theme,chemistry,0.096192812,0.096192812
Belize,theme,chemistry,3.306556582,0.045295296
Bolivia,theme,chemistry,7.337389174,0.030959448
Brazil,theme,chemistry,278.5636864,0.049557674
Chile,theme,chemistry,46.14159396,0.043284797
Colombia,theme,chemistry,15.6817681,0.0426135
Costa.Rica,theme,chemistry,6.196918352,0.033862942
Cuba,theme,chemistry,0.225239972,0.056309993
Ecuador,theme,chemistry,8.019396851,0.02937508
El.Salvador,theme,chemistry,0.423353862,0.052919233
Guatemala,theme,chemistry,0.532816856,0.035521124
Honduras,theme,chemistry,0.019037761,0.00634592
Jamaica,theme,chemistry,0.003895598,0.003895598
Mexico,theme,chemistry,106.5694969,0.046659149
Nicaragua,theme,chemistry,0.015397776,0.015397776
Panama,theme,chemistry,3.572069597,0.032180807
Paraguay,theme,chemistry,1.667436416,0.050528376
Peru,theme,chemistry,14.61489395,0.041168715
Uruguay,theme,chemistry,5.10579115,0.034733273
Venezuela,theme,chemistry,12.02282932,0.084075729
Argentina,theme,fish,17.94228056,0.01062302
Bahamas,theme,fish,0.001599659,0.001599659
Belize,theme,fish,0.840052952,0.011507575
Bolivia,theme,fish,1.201423718,0.005069298
Brazil,theme,fish,79.62604948,0.014165816
Chile,theme,fish,10.52147724,0.009870054
Colombia,theme,fish,3.65461302,0.009931014
Costa.Rica,theme,fish,1.189793132,0.006501602
Cuba,theme,fish,0.020854985,0.005213746
Ecuador,theme,fish,1.098291367,0.004023045
El.Salvador,theme,fish,0.003028011,0.000378501
Guatemala,theme,fish,0.006635139,0.000442343
Honduras,theme,fish,0.004347806,0.001449269
Jamaica,theme,fish,0.004544864,0.004544864
Mexico,theme,fish,20.21550809,0.008850923
