topic_id_pt,topic_name_pt,NSF_specific_pt,NSF_general_pt,description_pt,topic_id_en
1,,,,,
2,Tidal currents,NA,,,91
3,Electric currents,,,,
4,Soil type,"soil sciences, other",,water budget,
5,Fisheries,animal science,,,
6,,,,,
7,Tree growth,,,,
8,Groundwater,hydrology & water resources,,water budget,70
9,,,,,
10,Salinity,environmental science,,water budget,37
11,Irrigation,agriculture,,,50
12,Consortia,,,,
13,Aquatic flora and words relating to viruses,biology,,,
14,Water flow simulation,,,method,78
15,,,,,
16,,,,,
17,Agricultural economics,agricultural economics,,,
18,Microscopic freshwater fauna,biology,,,54
19,Place,,,spatial scale,
20,NA ,,,,
21,Water chemistry elements,geochemistry,,,31
22,Chemical experiments,,,,26
23,,,,,
24,Vulnerability mapping,,,method,
25,Water quality,hydrology & water resources,,,98
26,Place,,,,
27,Municipal water and sanitation services,civil engineering,,,
28,Sugar cane plantations and floods,,,,
29,,,,,
30,,,,,
31,Hydrothermal,geophysics & seismology,,,80
32,Evapotranspiration,atmospheric science/meteorology,,,28
33,Coffee plantations,,,,
34,,,,,
35,Bathymetry,,,method,
36,,,,,
37,Chemical pollutants,chemistry,,,104
38,Ichthyofauna,animal science,,,81
39,,,,,
40,,,,,
41,Sewage treatment,civil engineering,,water budget,64
42,,,,,
43,,,,,
44,Ecophysiology ,botany/plant biology,,,
45,,,,,
46,Entomology,biology,,,76
47,,,,,
48,Aquatic macroinvertebrates ,wildlife biology,,,
49,,,,,
50,Waste management,NA,,,44
51,River basin  / erosion,hydrology & water resources,,spatial scale,
52,Cerrado / Savannah,,,spatial scale,
53,Water quality in reservoirs,hydrology & water resources,,,98
54,Irrigation,agriculture,,,50
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,Climatology,atmospheric sciences,,,
60,Brazilian Northeast,,,spatial scale,
61,"Names of places on the coast and some references to bacteria, degradation",,,spatial scale,
62,Galvanic mud / water contaminated by metals,civil engineering,,water budget,
63,Waterborne diseases,environmental health,,,8
64,Water productivity (in agriculture),agronomy & crop science,,,
65,places,,,spatial scale,
