topic,useful.HG,useful.AJD,useful.LEG,useful.NP,name.HG,name.AJD,name.LEG,name.NP,useful.FvB,name.FvB,useful.EG,name.EG,useful.PO,name.PO,useful.RDG,name.RDG
1,1,1,0,1,air quality,air pollution,athmospheric emissions,atmosphere and pollution,0,Air pollution,1,Air quality,1,Air quality,1,pollution
2,1,1,1,1,seasons,seasonality,seasonality ,seasonal climate,1,Seasonal weather variation,1,Water year type,1,Precipitation patterns,1,climate variability
3,1,1,1,1,botany,seeds,seed development ,plant biology,0,Germination,1,Agriculture,1,Agroecology/Plants early stages,0, Plant ecology
4,1,1,1,1,food production systems,agricultural production,aquaculture,aquaculture,1,Aquaculture,1,Aquaculture,1,Animal agriculture,1,production system
5,1,0,1,1,organic matter,,organic compounds ,organics,0,Organic matter,0,,1,Soils organic carbon/ soils quaity,1,soil quality
6,1,1,1,1,fish,fish,fish ecology,fish,1,Fisheries ecology,1,Aquatic ecosystem,1,Fish ecology,1,fish ecology
7,1,1,1,1,population dynamics,animal biology,fish poplation ecology ,life history and reproduction,0,Larval development,1,Biology,1,Species life cycle,0,ecology
8,1,1,1,1,epidemiology,disease,water pathogens,water quality: pathogens ,1,Contaminants,1,Health?!,1,Water patogens,1,Contamination
9,1,0,0,1,mineralogy,,,minerology,0,Geology,1,Soil,0,Soils minerals,0,Mineral composition
10,1,0,0,0,quantitative methods,,,,0,Measurement,1,Field survey,0,Methods,0,analysis methods
11,1,0,1,1,statistical methods and probabilities,,optimization,predictive modeling,0,Model,1,Statistical modeling,1,Modeling,1,modelization
12,1,1,1,1,linear regression and statistics,variable relationships,statistics,methodology: statistics and modeling,0,Correlation,1,Statistical modeling,1,Sensitivity analysis,0,analysis methods
13,0,0,1,0,,,watershed hydrology ,,1,Watershed,1,Watershed,0,Watershed sciences,1,Watershead
14,1,1,1,1,urban,urban,urban water,urban,1,Urban water,1,Urban,1,Urban water management,1,urban hydrology
15,1,1,0,1,pacific ocean,currents,,global climate,1,Oceans,1,Location,0,Regional studies,1,regions
16,0,0,0,0,,,,,0,Miscellaneous,0,,0,,0,
17,1,1,1,1,amendments,,agriculture practices,agriculture,1,Agriculture,1,Agriculture,1,Fertilizers,0,agricultural 
18,1,1,1,1,flow in porous media,fluid mechanics,groundwater transport / flow,groundwater flow,1,Water flows,1,Hydraulic,1,Hydraulics,1,Hydraulic
19,1,1,1,1,arsenic contamination,water quality,water quality - toxicity ,human health,1,Drinking water quality,1,Clean water,1,Drinking water quality,1,Water contamination
20,1,1,1,1,landscape units,topography,geomorphology ,landscapes,1,Topography,1,Geography,1,Geomorphology,0,
21,1,1,1,1,plant science,plants,plant science,vegetation and hydrology,1,Plant development,1,Crops,1,Plant physiology,1,Drought
22,1,1,1,1,mining,mines,mining,mining,0,Mining,1,Mining,1,Mining,0,Mining
23,1,1,1,1,invasive species,,fisheries,fisheries,1,Invasive fish,1,Fishery,1,Invasive species of fish,1,aquatic enviromental issues
