"","country","NSFgeneral","NSFspecific","budget"
"1","Argentina",1.21364988955277,3.379031950631,2.6832709818225
"2","Bahamas",1.07957096859453,3.36023606897599,2.56558025132084
"3","Barbados",1.23214413934899,3.25315889332787,2.51394265600322
"4","Belize",1.1613704228135,3.36074492480155,2.65150955294127
"5","Bolivia",1.37552103675564,3.18211377820103,2.71070482897465
"6","Brazil",1.30714794945393,3.36371194128799,2.71289110205765
"7","Chile",1.26081213242599,3.39788565716023,2.72274394132561
"8","Colombia",1.39111587520824,3.33124353230893,2.68356525388762
"9","Costa.Rica",1.25942687489397,3.28727217968309,2.68372355080302
"10","Cuba",1.24251320119919,3.36631644290754,2.68764375224791
"11","Ecuador",1.39734745867324,3.19309483258384,2.68557832760269
"12","El.Salvador",1.34970097516877,3.15013671740075,2.74401335577505
"13","Guatemala",1.44457035040251,3.18602463298861,2.74011709013789
"14","Haiti",1.49335900283086,3.01047196465684,2.62606390421812
"15","Honduras",1.47662345320332,3.04101450974974,2.63986298830424
"16","Jamaica",1.22508490276984,3.37043093991988,2.68097712640739
"17","Mexico",1.26302105582962,3.40001400623422,2.71836753191862
"18","Nicaragua",1.36358863937916,3.0346048227325,2.65117419617259
"19","Panama",1.18460163049407,3.34327812756546,2.58493726640585
"20","Paraguay",1.33591114542473,2.85283551470641,2.29650148409904
"21","Peru",1.29948577322485,3.3328967170213,2.65262636872681
"22","Uruguay",1.29391649918952,3.3312284580106,2.6358329903176
"23","Venezuela",1.17185111741684,3.45929794157457,2.66377635618222
