"","country","entropy","entropy-rank"
"1","Argentina",2.6536422714739,13
"2","Bahamas",1.27757752650018,2
"3","Belize",2.65962485865956,14
"4","Bolivia",2.68327689787311,19
"5","Brazil",2.67602929535804,18
"6","Chile",2.7011071199052,21
"7","Colombia",2.667675991679,17
"8","Costa.Rica",2.62595263552296,11
"9","Cuba",2.2702662649456,4
"10","Ecuador",2.66312434471833,15
"11","El.Salvador",2.51428796633143,7
"12","Guatemala",2.59774875398984,9
"13","Honduras",2.39356218870707,6
"14","Jamaica",0.981480621447459,1
"15","Mexico",2.69014013490252,20
"16","Nicaragua",1.42443992130541,3
"17","Panama",2.52962085492603,8
"18","Paraguay",2.28283313166114,5
"19","Peru",2.61928362689241,10
"20","Uruguay",2.64228057945042,12
"21","Venezuela",2.66427275534723,16
