"","country","entropy","entropy-rank"
"1","Argentina",2.3225828729191,11
"2","Bahamas",1.49226654492836,3
"3","Belize",2.37636618915617,14
"4","Bolivia",2.381552942319,15
"5","Brazil",2.38399794359517,16
"6","Chile",2.41890293867538,18
"7","Colombia",2.44775228927642,20
"8","Costa.Rica",2.32644483333589,12
"9","Cuba",1.53966009132282,4
"10","Ecuador",2.38428092168593,17
"11","El.Salvador",2.20656547695765,6
"12","Guatemala",2.29621927569538,8
"13","Honduras",1.80412695449442,5
"14","Jamaica",0.557708805739793,1
"15","Mexico",2.42690510335582,19
"16","Nicaragua",0.952828121017506,2
"17","Panama",2.2861217928358,7
"18","Paraguay",2.32920636595703,13
"19","Peru",2.47312906649073,21
"20","Uruguay",2.31946081709558,10
"21","Venezuela",2.3021407854275,9
