"","country","entropy","entropy-rank"
"1","Argentina",3.32583976816326,11
"2","Bahamas",2.05455239841688,1
"3","Belize",3.32268119802217,10
"4","Bolivia",3.37693635716656,18
"5","Brazil",3.37823553437859,19
"6","Chile",3.36234223679399,16
"7","Colombia",3.37999694008816,20
"8","Costa.Rica",3.35328670896424,15
"9","Cuba",2.604869823887,4
"10","Ecuador",3.33250742202748,12
"11","El.Salvador",2.66811563304242,5
"12","Guatemala",3.0392322992893,7
"13","Honduras",2.67262440325302,6
"14","Jamaica",2.11608581348224,2
"15","Mexico",3.36528751214424,17
"16","Nicaragua",2.39650507976391,3
"17","Panama",3.1916854732343,9
"18","Paraguay",3.17735212661996,8
"19","Peru",3.33590032372903,14
"20","Uruguay",3.33452885669388,13
"21","Venezuela",3.41174783915241,21
