"","country","topic","sum"
"1","Argentina","quantitative methods",206.527245839166
"2","Bolivia","quantitative methods",37.1578442215666
"3","Brazil","quantitative methods",744.713931569945
"4","Chile","quantitative methods",182.870264409742
"5","Colombia","quantitative methods",35.8583335365124
"6","Costa.Rica","quantitative methods",41.7221460927705
"7","Ecuador","quantitative methods",23.2302179359672
"8","Mexico","quantitative methods",201.696178507613
"9","Panama","quantitative methods",12.2693720607782
"10","Peru","quantitative methods",50.1506302905893
"11","Uruguay","quantitative methods",20.0681616948105
"12","Venezuela","quantitative methods",27.8606136136581
"13","Argentina","statistical modeling",67.0375238749413
"14","Bolivia","statistical modeling",11.6665944070795
"15","Brazil","statistical modeling",261.352314461911
"16","Chile","statistical modeling",59.516567478651
"17","Colombia","statistical modeling",16.7269645089713
"18","Costa.Rica","statistical modeling",8.34848703608904
"19","Ecuador","statistical modeling",9.26580505579626
"20","Mexico","statistical modeling",62.2837072498933
"21","Panama","statistical modeling",3.02482553752048
"22","Peru","statistical modeling",14.9089378225046
"23","Uruguay","statistical modeling",8.46205480628105
"24","Venezuela","statistical modeling",8.19105764878653
"25","Argentina","statistics",279.59503979865
"26","Bolivia","statistics",28.9038139689599
"27","Brazil","statistics",789.5734092343
"28","Chile","statistics",145.274068307743
"29","Colombia","statistics",44.5111828944071
"30","Costa.Rica","statistics",29.1529962030041
"31","Ecuador","statistics",24.2099773348169
"32","Mexico","statistics",176.859894724905
"33","Panama","statistics",12.7465588354908
"34","Peru","statistics",35.0895158546709
"35","Uruguay","statistics",25.3238202356822
"36","Venezuela","statistics",22.4439100456984
"37","Argentina","water sampling",268.509041749313
"38","Bolivia","water sampling",39.123962410402
"39","Brazil","water sampling",908.790964553952
"40","Chile","water sampling",149.813037009359
"41","Colombia","water sampling",34.456997117413
"42","Costa.Rica","water sampling",48.3796091250808
"43","Ecuador","water sampling",23.8649008980729
"44","Mexico","water sampling",245.379088453838
"45","Panama","water sampling",9.34316890910387
"46","Peru","water sampling",49.3653260914909
"47","Uruguay","water sampling",16.9526140975172
"48","Venezuela","water sampling",41.8033123504899
"49","Argentina","community studies",49.3433358979436
"50","Bolivia","community studies",51.920849139121
"51","Brazil","community studies",287.216574469666
"52","Chile","community studies",55.1075620697519
"53","Colombia","community studies",38.1406526604592
"54","Costa.Rica","community studies",30.6768226281946
"55","Ecuador","community studies",34.6798572712562
"56","Mexico","community studies",155.18049980927
"57","Panama","community studies",6.99542695424903
"58","Peru","community studies",53.6913948108424
"59","Uruguay","community studies",4.89300945661493
"60","Venezuela","community studies",8.0529652366741
"61","Argentina","spatial methods",129.076053565561
"62","Bolivia","spatial methods",25.8406283803958
"63","Brazil","spatial methods",460.577862795332
"64","Chile","spatial methods",97.7865932169813
"65","Colombia","spatial methods",30.7985659720264
"66","Costa.Rica","spatial methods",23.5667804772142
"67","Ecuador","spatial methods",20.0708106466736
"68","Mexico","spatial methods",143.246616523205
"69","Panama","spatial methods",8.47578379477922
"70","Peru","spatial methods",40.7247700911566
"71","Uruguay","spatial methods",13.6103442636027
"72","Venezuela","spatial methods",15.7186590763671
"73","Argentina","isotopes",95.4460897554389
"74","Bolivia","isotopes",17.8037665323749
"75","Brazil","isotopes",255.816473921641
"76","Chile","isotopes",81.7320845301108
"77","Colombia","isotopes",15.0414950417132
"78","Costa.Rica","isotopes",27.5926625214451
"79","Ecuador","isotopes",7.52038786876336
"80","Mexico","isotopes",118.2779177103
"81","Panama","isotopes",7.0043268972168
"82","Peru","isotopes",32.2959667780643
"83","Uruguay","isotopes",10.4200300444932
"84","Venezuela","isotopes",15.4350062057431
"85","Argentina","temporal analysis",324.751206501085
"86","Bolivia","temporal analysis",29.6187074723973
"87","Brazil","temporal analysis",661.716454578823
"88","Chile","temporal analysis",206.758173772664
"89","Colombia","temporal analysis",31.2493955208915
"90","Costa.Rica","temporal analysis",25.0416784936469
"91","Ecuador","temporal analysis",17.2737330037188
"92","Mexico","temporal analysis",223.833478105257
"93","Panama","temporal analysis",7.41897000340403
"94","Peru","temporal analysis",43.3228214055423
