"","country","topic","sum"
"1","Argentina","atmospheric science/meteorology",53.3817269293773
"2","Bolivia","atmospheric science/meteorology",11.7204880832687
"3","Brazil","atmospheric science/meteorology",218.451988400183
"4","Chile","atmospheric science/meteorology",45.8310793794351
"5","Colombia","atmospheric science/meteorology",9.13252040768406
"6","Costa.Rica","atmospheric science/meteorology",11.7637676648938
"7","Ecuador","atmospheric science/meteorology",5.00077991891602
"8","Mexico","atmospheric science/meteorology",61.0518956792298
"9","Panama","atmospheric science/meteorology",3.25194210871256
"10","Peru","atmospheric science/meteorology",11.7178354498912
"11","Uruguay","atmospheric science/meteorology",3.2558754874203
"12","Venezuela","atmospheric science/meteorology",8.68488821687525
"13","Argentina","botany/plant biology",17.926057420552
"14","Bolivia","botany/plant biology",1.19231872545695
"15","Brazil","botany/plant biology",30.7324393046412
"16","Chile","botany/plant biology",11.9273594126222
"17","Colombia","botany/plant biology",2.56559571464164
"18","Costa.Rica","botany/plant biology",2.06455890656415
"19","Ecuador","botany/plant biology",1.23392273746966
"20","Mexico","botany/plant biology",11.8470306377999
"21","Panama","botany/plant biology",1.8197547763307
"22","Peru","botany/plant biology",2.09055965418269
"23","Uruguay","botany/plant biology",0.697407520416359
"24","Venezuela","botany/plant biology",1.63508204885205
"25","Argentina","animal science",31.8796149989689
"26","Bolivia","animal science",2.90981743494055
"27","Brazil","animal science",131.761682097577
"28","Chile","animal science",23.0061597783949
"29","Colombia","animal science",4.64805824338736
"30","Costa.Rica","animal science",3.19103850540093
"31","Ecuador","animal science",1.3523774496371
"32","Mexico","animal science",32.629058975088
"33","Panama","animal science",0.292790117877294
"34","Peru","animal science",4.6483825617333
"35","Uruguay","animal science",5.16805411053448
"36","Venezuela","animal science",3.86468602787489
"37","Argentina","organic chemistry",25.3301501710316
"38","Bolivia","organic chemistry",1.34762847354336
"39","Brazil","organic chemistry",95.8076286882593
"40","Chile","organic chemistry",14.3970901732475
"41","Colombia","organic chemistry",2.58817782917934
"42","Costa.Rica","organic chemistry",1.56781471545284
"43","Ecuador","organic chemistry",1.43508139525625
"44","Mexico","organic chemistry",14.4060779091535
"45","Panama","organic chemistry",0.781448599537955
"46","Peru","organic chemistry",6.06235835961145
"47","Uruguay","organic chemistry",2.27228519902195
"48","Venezuela","organic chemistry",7.3611308939409
"49","Argentina","biology",77.8563796632738
"50","Bolivia","biology",6.55753447952243
"51","Brazil","biology",178.078253801103
"52","Chile","biology",52.4093866545345
"53","Colombia","biology",12.4765749869657
"54","Costa.Rica","biology",10.4081510634037
"55","Ecuador","biology",2.60569266770271
"56","Mexico","biology",54.8041059424297
"57","Panama","biology",3.92571064235376
"58","Peru","biology",10.8679926822291
"59","Uruguay","biology",5.75814635816248
"60","Venezuela","biology",5.5463188967806
"61","Argentina","environmental health",34.8410067285376
"62","Bolivia","environmental health",5.77250962738664
"63","Brazil","environmental health",146.401819671829
"64","Chile","environmental health",17.2947270558383
"65","Colombia","environmental health",7.98396533866416
"66","Costa.Rica","environmental health",3.66773253103725
"67","Ecuador","environmental health",3.67056589687526
"68","Mexico","environmental health",37.4345942113532
"69","Panama","environmental health",0.30176720104264
"70","Peru","environmental health",7.50442036786992
"71","Uruguay","environmental health",1.43055374779549
"72","Venezuela","environmental health",4.5469310470395
"73","Argentina","mineralogy/petrology",20.8966165563099
"74","Bolivia","mineralogy/petrology",2.37311348045653
"75","Brazil","mineralogy/petrology",66.3117187578742
"76","Chile","mineralogy/petrology",12.0712697428587
"77","Colombia","mineralogy/petrology",1.19272262688892
"78","Costa.Rica","mineralogy/petrology",1.3757413820906
"79","Ecuador","mineralogy/petrology",1.25173817640242
"80","Mexico","mineralogy/petrology",16.4950637062135
"81","Panama","mineralogy/petrology",0.399544269719113
"82","Peru","mineralogy/petrology",4.71301108538057
"83","Uruguay","mineralogy/petrology",0.947635092671925
"84","Venezuela","mineralogy/petrology",3.18621970016426
"85","Argentina","mathematics/statistics, general",50.1347880193931
"86","Bolivia","mathematics/statistics, general",9.17646957602726
"87","Brazil","mathematics/statistics, general",170.314383226936
"88","Chile","mathematics/statistics, general",46.0147233838732
"89","Colombia","mathematics/statistics, general",8.53769848211337
"90","Costa.Rica","mathematics/statistics, general",9.29423973563397
"91","Ecuador","mathematics/statistics, general",5.07627467434515
"92","Mexico","mathematics/statistics, general",46.0381892306352
"93","Panama","mathematics/statistics, general",2.22015960330049
"94","Peru","mathematics/statistics, general",12.6142881333246
"95","Uruguay","mathematics/statistics, general",5.31866205246854
"96","Venezuela","mathematics/statistics, general",5.82754372053413
"97","Argentina","statistics",87.3369118642719
"98","Bolivia","statistics",10.5340751225449
"99","Brazil","statistics",266.258123948247
"100","Chile","statistics",56.5295778201438
"101","Colombia","statistics",14.9196181125779
"102","Costa.Rica","statistics",9.098365631578
"103","Ecuador","statistics",9.39970770515861
"104","Mexico","statistics",56.0512207014374
"105","Panama","statistics",2.88527201281839
"106","Peru","statistics",11.5433942247589
"107","Uruguay","statistics",9.21913968872731
"108","Venezuela","statistics",6.29870924175587
"109","Argentina","hydrology & water resources",317.681903046216
"110","Bolivia","hydrology & water resources",67.8718926621126
"111","Brazil","hydrology & water resources",998.488522286873
"112","Chile","hydrology & water resources",240.691557915297
"113","Colombia","hydrology & water resources",62.4599341120248
"114","Costa.Rica","hydrology & water resources",58.3184938611936
"115","Ecuador","hydrology & water resources",45.3713418793177
"116","Mexico","hydrology & water resources",331.973902252543
"117","Panama","hydrology & water resources",12.8338654351781
"118","Peru","hydrology & water resources",84.4178604062337
"119","Uruguay","hydrology & water resources",25.4164619857881
"120","Venezuela","hydrology & water resources",31.3176046290603
"121","Argentina","civil engineering",67.6669916870249
"122","Bolivia","civil engineering",15.9963075387497
"123","Brazil","civil engineering",452.961879735165
"124","Chile","civil engineering",61.3315018888541
"125","Colombia","civil engineering",31.3983985672279
"126","Costa.Rica","civil engineering",12.9035806691361
"127","Ecuador","civil engineering",7.84494819514686
"128","Mexico","civil engineering",109.237991588509
"129","Panama","civil engineering",1.99919560481982
"130","Peru","civil engineering",20.3821745783657
"131","Uruguay","civil engineering",6.92850525836008
"132","Venezuela","civil engineering",8.49304004005445
"133","Argentina","oceanography, chemical and physical",26.3258271782178
"134","Bolivia","oceanography, chemical and physical",6.68596096288902
"135","Brazil","oceanography, chemical and physical",80.5115345254858
"136","Chile","oceanography, chemical and physical",30.444819394801
"137","Colombia","oceanography, chemical and physical",5.63697038212422
"138","Costa.Rica","oceanography, chemical and physical",5.63060585120763
"139","Ecuador","oceanography, chemical and physical",4.27582631507881
"140","Mexico","oceanography, chemical and physical",31.9386131680382
"141","Panama","oceanography, chemical and physical",4.16011461317141
"142","Peru","oceanography, chemical and physical",17.813936969571
"143","Uruguay","oceanography, chemical and physical",3.84500215452008
"144","Venezuela","oceanography, chemical and physical",3.21982283951775
"145","Argentina","agronomy & crop science",66.5334041543825
"146","Bolivia","agronomy & crop science",7.03345962898503
"147","Brazil","agronomy & crop science",180.737055533308
"148","Chile","agronomy & crop science",23.7620781715
"149","Colombia","agronomy & crop science",9.21199534337355
"150","Costa.Rica","agronomy & crop science",6.59905286772518
"151","Ecuador","agronomy & crop science",3.5367054485938
"152","Mexico","agronomy & crop science",29.7952069471409
"153","Panama","agronomy & crop science",0.942069716765218
"154","Peru","agronomy & crop science",7.22325332940487
"155","Uruguay","agronomy & crop science",4.3158270631282
"156","Venezuela","agronomy & crop science",3.96923499669456
"157","Argentina","geomorphology",39.9650640303746
"158","Bolivia","geomorphology",9.08327243164979
"159","Brazil","geomorphology",68.1691674629258
"160","Chile","geomorphology",31.4356100852469
"161","Colombia","geomorphology",5.41279089133577
"162","Costa.Rica","geomorphology",4.77556424884461
"163","Ecuador","geomorphology",3.20997451545175
"164","Mexico","geomorphology",29.4159136852512
"165","Panama","geomorphology",1.19706520604884
"166","Peru","geomorphology",14.1068808532676
"167","Uruguay","geomorphology",1.34728693816795
"168","Venezuela","geomorphology",3.44524830556432
"169","Argentina","plant physiology",38.5258287062013
"170","Bolivia","plant physiology",3.05224720257021
"171","Brazil","plant physiology",85.1060650476911
"172","Chile","plant physiology",23.233395920762
"173","Colombia","plant physiology",2.72944416544704
"174","Costa.Rica","plant physiology",4.73438825449685
"175","Ecuador","plant physiology",0.582228895614558
"176","Mexico","plant physiology",14.5499750769118
"177","Panama","plant physiology",3.48647183048153
"178","Peru","plant physiology",2.99747846432077
"179","Uruguay","plant physiology",1.18932073295326
"180","Venezuela","plant physiology",7.95011788902517
"181","Argentina","engineering",31.695793153123
"182","Bolivia","engineering",9.78718992295742
"183","Brazil","engineering",142.737517383216
"184","Chile","engineering",40.7109036745129
"185","Colombia","engineering",6.49343829302866
"186","Costa.Rica","engineering",2.57202722240857
"187","Ecuador","engineering",5.28648492858585
"188","Mexico","engineering",34.8588626874334
"189","Panama","engineering",0.711033174676394
"190","Peru","engineering",18.1430793928298
"191","Uruguay","engineering",3.9249565919114
"192","Venezuela","engineering",4.05627691306666
"193","Argentina","fishing & fisheries sciences/management",17.3021307075048
"194","Bolivia","fishing & fisheries sciences/management",1.20588098689531
"195","Brazil","fishing & fisheries sciences/management",47.3388489737651
"196","Chile","fishing & fisheries sciences/management",9.19040014910134
"197","Colombia","fishing & fisheries sciences/management",1.47306859326825
"198","Costa.Rica","fishing & fisheries sciences/management",1.11932425740769
"199","Ecuador","fishing & fisheries sciences/management",0.739430091684209
"200","Mexico","fishing & fisheries sciences/management",17.803175858855
"201","Panama","fishing & fisheries sciences/management",0.613906622434874
"202","Peru","fishing & fisheries sciences/management",3.26285900096823
"203","Uruguay","fishing & fisheries sciences/management",2.1349250497307
"204","Venezuela","fishing & fisheries sciences/management",1.46991679867196
"205","Argentina","ecology",100.748210287571
"206","Bolivia","ecology",5.9582067978364
"207","Brazil","ecology",348.242575763304
"208","Chile","ecology",44.7332064311768
"209","Colombia","ecology",10.0959969191181
"210","Costa.Rica","ecology",16.5974527097152
"211","Ecuador","ecology",9.09480474584612
"212","Mexico","ecology",56.9023807405643
"213","Panama","ecology",5.81137949108608
"214","Peru","ecology",12.4174046667437
"215","Uruguay","ecology",11.9976273500958
"216","Venezuela","ecology",9.05300242169869
"217","Argentina","geophysics & seismology",18.9394117076365
"218","Bolivia","geophysics & seismology",4.58292622788108
"219","Brazil","geophysics & seismology",36.2099184158839
"220","Chile","geophysics & seismology",20.4509081364493
"221","Colombia","geophysics & seismology",5.76293086363323
"222","Costa.Rica","geophysics & seismology",10.3210249709091
"223","Ecuador","geophysics & seismology",4.99309868942842
"224","Mexico","geophysics & seismology",47.7619841769861
"225","Panama","geophysics & seismology",1.40948112258605
"226","Peru","geophysics & seismology",5.77362987354108
"227","Uruguay","geophysics & seismology",1.11331279043676
"228","Venezuela","geophysics & seismology",1.95722773422736
"229","Argentina","toxicology",38.1881456898368
"230","Bolivia","toxicology",0.748941600785291
"231","Brazil","toxicology",119.800674900729
"232","Chile","toxicology",18.4473304905677
"233","Colombia","toxicology",2.57756810814035
"234","Costa.Rica","toxicology",1.79974896954717
"235","Ecuador","toxicology",0.274971123316914
"236","Mexico","toxicology",13.6379023573116
"237","Panama","toxicology",0.097547728947836
"238","Peru","toxicology",2.64305480023218
"239","Uruguay","toxicology",2.399311082784
"240","Venezuela","toxicology",1.10707983975131
"241","Argentina","environmental toxicology",68.6787426140092
"242","Bolivia","environmental toxicology",7.34576970549417
"243","Brazil","environmental toxicology",246.892782388414
"244","Chile","environmental toxicology",38.3707036094999
"245","Colombia","environmental toxicology",8.3662115345064
"246","Costa.Rica","environmental toxicology",7.26296981423174
"247","Ecuador","environmental toxicology",2.58073657378249
"248","Mexico","environmental toxicology",52.3607717745033
"249","Panama","environmental toxicology",0.588809371908324
"250","Peru","environmental toxicology",6.48059949373237
"251","Uruguay","environmental toxicology",4.17934389558207
"252","Venezuela","environmental toxicology",7.05965752169131
"253","Argentina","geochemistry",47.8041107785793
"254","Bolivia","geochemistry",7.38904865244567
"255","Brazil","geochemistry",76.8197157923334
"256","Chile","geochemistry",18.7282197251577
"257","Colombia","geochemistry",3.82435363005867
"258","Costa.Rica","geochemistry",4.03099053566993
"259","Ecuador","geochemistry",1.68056427861843
"260","Mexico","geochemistry",29.0257004302549
"261","Panama","geochemistry",0.724443834856326
"262","Peru","geochemistry",5.68271814048818
