COUNTRY,pop_density,annual_precip,NRI,depend_ratio,variability,dam_cap,dam_cap_percap,withdrawl,ag_withdrawl,ind_withdrawl,mun_withdrawl,withdrawl_percap,surface_withdrawl,ground_withdrawl,fresh_withdrawl,water_stress,irrig_actual,ag_area,harvest_total,harvest_temp,harvest_perm,irrig_intensity,flood,drink_total,drink_rural,drink_urban,SPI (2017),SPI_basic_human,SPI_found,SPI_opp,LAC_hazard,LAC_vuln,LAC_cope,democracy,EPI.current,HLT.current,ECO.current,GDP_2015,population_2015,land_area,inland_water,inland_water_percent,GDP_percap,muni_withdrawl_percap,ag_area_percent,Position.Assistant.Professor,Position.Associate.Professor,Position.Government.employee,Position.Graduate.student,Position.Other,Position.Post.doc,Position.Professor,Position.Researcher,Affiliation.Government.agency,Affiliation.National.lab,Affiliation.Non.governmental.organization,Affiliation.University,Discipline.Agricultural.science.Natural.resources,Discipline.Atmospheric.science...meteorology,Discipline.Biological.Biomedical.sciences,Discipline.Chemistry,Discipline.Computer...information.sciences,Discipline.Engineering,Discipline.Geological...earth.sciences,Discipline.Health.sciences,Discipline.Humanities,Discipline.Mathematics...statistics,Discipline.Ocean.marine.sciences,Discipline.Physics,Discipline.Social.sciences,Journals.Conference.proceedings,Journals.International.journals,Journals.National.research.system.database.journals,Journals.University,Funding.Government,Funding.Industry,Funding.Non.governmental.organizations,Position.Assistant.Professor.pct,Position.Associate.Professor.pct,Position.Government.employee.pct,Position.Graduate.student.pct,Position.Other.pct,Position.Post.doc.pct,Position.Professor.pct,Position.Researcher.pct,Affiliation.Government.agency.pct,Affiliation.National.lab.pct,Affiliation.Non.governmental.organization.pct,Affiliation.University.pct,Discipline.Agricultural.science.Natural.resources.pct,Discipline.Atmospheric.science...meteorology.pct,Discipline.Biological.Biomedical.sciences.pct,Discipline.Chemistry.pct,Discipline.Computer...information.sciences.pct,Discipline.Engineering.pct,Discipline.Geological...earth.sciences.pct,Discipline.Health.sciences.pct,Discipline.Humanities.pct,Discipline.Mathematics...statistics.pct,Discipline.Ocean.marine.sciences.pct,Discipline.Physics.pct,Discipline.Social.sciences.pct,Journals.Conference.proceedings.pct,Journals.International.journals.pct,Journals.National.research.system.database.journals.pct,Journals.University.pct,Funding.Government.pct,Funding.Industry.pct,Funding.Non.governmental.organizations.pct
Antigua and Barbuda,208.7,1030,,0,,0.006,65.35,0.0115,15.65,21.74,62.61,129.1,0.0037,0.0007,0.0044,8.462,100,0.3845,0.3845,0.2833,0.1012,100,3.6,97.9,97.9,97.9,,,,,3.2,2.6,4.3,0,59.18,76.53,47.61,1359194737,99923,44,,,13600,27.6,0.008738636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,15.62,591,1062,66.67,1.8,131.6,3031,37.78,73.93,10.59,15.48,897.5,26.36,11.33,37.69,6.644,91.73,2357,2300,1741,559,106.4,2.5,99.1,100,99,74.84,82.14,78.81,63.56,4,3.8,3.8,0.7706,59.3,79.88,45.58,595000000000,43417765,282411,4371,0.015477442,13700,134,0.008345992,13,8,1,4,4,12,28,122,10,111,5,66,45,6,56,11,1,4,40,2,3,0,21,2,1,11,173,6,2,181,3,8,0.0677083333,0.0416666667,0.0052083333,0.0208333333,0.0208333333,0.0625,0.1458333333,0.6354166667,0.0520833333,0.578125,0.0260416667,0.34375,0.234375,0.03125,0.2916666667,0.0572916667,0.0052083333,0.0208333333,0.2083333333,0.0104166667,0.015625,0,0.109375,0.0104166667,0.0052083333,0.0572916667,0.9010416667,0.03125,0.0104166667,0.9427083333,0.015625,0.0416666667
Bahamas,27.95,1292,1320,0,,,,,,,,,,,,,,1,,,,,,98.4,98.4,98.4,,,,,4.8,2.4,4.6,0,54.99,73.68,42.52,11792300000,386838,1775,387,0.218028169,30483.8201,,0.00056338,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Barbados,660.9,1422,,0,,,,0.081,67.65,7.654,24.69,293.3,,,0.07,87.5,100,5.435,,,,,3.6,99.7,99.7,99.7,75.51,89.02,75.6,61.9,2.4,2.8,2.9,0,55.76,84.73,36.45,4584150000,284217,43,,,16129.04928,60.8,0.126395349,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Belize,15.64,1705,2013,29.79,2.2,0.1217,338.7,0.101,67.72,20.99,11.29,385.2,,,0.101,0.6872,100,3.548,3.548,1.612,1.936,100,2.6,99.5,100,98.9,,,,,5.5,3.8,4.5,0,57.79,65.09,52.93,1762500450,359288,2313,16,0.006917423,4905.536645,31.7,0.001533939,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Bolivia,9.763,1146,1503,47.13,3.1,0.5951,55.49,2.088,91.95,1.533,6.513,203.9,,,2.088,0.5265,100,297.2,284.2,244.3,39.92,103.7,3.1,90,75.6,96.7,65.05,73.02,68.56,53.58,5.4,6.5,6.6,0.6766,55.98,61.64,52.21,33000198263,10724705,111386,1528,0.013718062,3077.026199,12.7,0.002668199,1,1,2,0,2,1,4,5,1,0,3,12,6,0,4,2,0,1,3,0,0,0,0,0,0,1,14,0,1,7,0,9,0.0625,0.0625,0.125,0,0.125,0.0625,0.25,0.3125,0.0625,0,0.1875,0.75,0.375,0,0.25,0.125,0,0.0625,0.1875,0,0,0,0,0,0,0.0625,0.875,0,0.0625,0.4375,0,0.5625
Brazil,24.41,1761,1934,34.53,2.5,700.4,3370,74.83,60,17,23,369.7,,,74.78,1.323,96.81,5400,5329,4798,476,119.6,3.1,98.1,87,100,72.76,79.22,78.07,60.98,6.6,4.5,4.8,0.7972,60.7,67.44,56.21,1800000000000,205962108,867340,15763,0.018173957,8739.471631,83.5,0.006225932,65,213,16,73,23,61,136,81,30,36,29,573,238,13,114,26,4,115,83,7,3,4,52,1,8,39,531,56,42,621,26,21,0.0973053892,0.3188622754,0.0239520958,0.1092814371,0.0344311377,0.0913173653,0.2035928144,0.121257485,0.0449101796,0.0538922156,0.0434131737,0.8577844311,0.3562874251,0.0194610778,0.1706586826,0.0389221557,0.005988024,0.1721556886,0.124251497,0.0104790419,0.004491018,0.005988024,0.0778443114,0.001497006,0.0119760479,0.0583832335,0.7949101796,0.0838323353,0.0628742515,0.9296407186,0.0389221557,0.0314371257
Chile,23.74,1522,2483,4.123,3.5,14.44,804.5,35.43,83.04,13.39,3.576,2152,32.59,2.778,35.36,5.497,98.65,1109,1094,626.8,367,100,2.5,99,93.3,99.7,80.36,90.57,82.77,67.73,4.9,3.2,3,0.8118,57.49,73.73,46.66,244000000000,17762681,76987,1316.8,0.017104186,13736.66509,71.2,0.014405029,8,33,1,3,8,4,25,18,1,6,6,87,26,3,8,5,0,15,18,1,0,0,14,0,10,2,94,1,3,83,6,11,0.08,0.33,0.01,0.03,0.08,0.04,0.25,0.18,0.01,0.06,0.06,0.87,0.26,0.03,0.08,0.05,0,0.15,0.18,0.01,0,0,0.14,0,0.1,0.02,0.94,0.01,0.03,0.83,0.06,0.11
Colombia,42.24,3240,2862,9.11,1.5,11.28,233.9,11.77,54.3,19.05,26.63,251.1,10.69,1.073,11.77,0.8558,36.25,1087,524,487,37,133,3.7,91.4,73.8,96.8,70.65,79.43,77.59,54.94,7.8,7.1,6.4,0.6976,65.22,71.05,61.33,293000000000,48228697,117400,3224.9,0.027469336,6075.221149,65,0.009258944,3,27,1,7,2,0,11,17,3,2,10,53,17,2,13,1,0,19,9,0,0,0,6,0,1,7,50,9,2,46,7,15,0.0441176471,0.3970588235,0.0147058824,0.1029411765,0.0294117647,0,0.1617647059,0.25,0.0441176471,0.0294117647,0.1470588235,0.7794117647,0.25,0.0294117647,0.1911764706,0.0147058824,0,0.2794117647,0.1323529412,0,0,0,0.0882352941,0,0.0147058824,0.1029411765,0.7352941176,0.1323529412,0.0294117647,0.6764705882,0.1029411765,0.2205882353
Costa Rica,94.09,2926,2865,0,2.4,1.997,415.3,2.35,56.6,11.06,32.34,488.8,1.554,0.7933,2.347,3.065,100,101.5,101.5,84.06,17.25,100,3.1,97.8,91.9,99.6,80.81,88.27,85.52,68.63,4.7,3.9,3.8,0.8955,67.85,76.44,62.13,54775994478,4807852,5114,4,0.000782167,11393.02842,158,0.019847478,1,4,1,1,1,1,8,0,1,0,1,15,3,3,2,1,0,1,1,0,0,0,3,0,3,0,15,0,2,13,0,4,0.0588235294,0.2352941176,0.0588235294,0.0588235294,0.0588235294,0.0588235294,0.4705882353,0,0.0588235294,0,0.0588235294,0.8823529412,0.1764705882,0.1764705882,0.1176470588,0.0588235294,0,0.0588235294,0.0588235294,0,0,0,0.1764705882,0,0.1764705882,0,0.8823529412,0,0.1176470588,0.7647058824,0,0.2352941176
