"X","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source.app","rec.number","foreign.keys","ref.type","contributors","titles","periodical","pages","volume","number","dates","publisher","isbn","notes","urls","electronic.resource.num","pdfs","Country.1","Country.2","Country.3","Country.4","Country.5","Country.6","Country.7","Country.8"
5875,20,"A. Gagern, J. van den Bergh","A critical review of fishing agreements with tropical developing countries",2013,"Marine Policy",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883452507&partnerID=40&md5=5e639af7e5b7b7bde8a483ef3f976750",NA,5880,"8/10/2018","Article","10.1016/j.marpol.2012.06.016",NA,NA,38,NA,375,386,20,4,10,2,5,"english","in corpus","DOI present","english.enl","EndNote",20764,20764,2,"Gagern, A.Bergh, J. van den","A critical review of fishing agreements with tropical developing countries",NA,"375-386",NA,"Query date: 2018-08-10",2013,NA,NA,"38
Cited By (since 2013): 20","https://www.scopus.com/inward/record.url?eid=2-s2.0-84883452507&partnerID=40&md5=5e639af7e5b7b7bde8a483ef3f976750https://ac.els-cdn.com/S0308597X12001558/1-s2.0-S0308597X12001558-main.pdf?_tid=63c9e66e-d514-448e-9801-16a339eff60d&acdnat=1534060700_08953f16a055a4ed78259713e7495318internal-pdf://2937513515/Gagern-2013-A critical review of fishing agree.pdf","10.1016/j.marpol.2012.06.016","2937513515/Gagern-2013-A critical review of fishing agree.pdf","Bolivia","","","","","","",""
27841,2,"Matias H. Medina, Rodrigo Ramos-Jiliberto","Future directions of Chilean ecotoxicology: Implications for the environmental risk assessment of veterinary products used in aquaculture",2009,"REVISTA CHILENA DE HISTORIA NATURAL",NA,NA,NA,4476,"8/10/2018","Journal article","10.4067/S0716-078X2009000300010",NA,NA,82,3,443,457,2,0.22,1,2,9,"english","in corpus","DOI present","english.enl","EndNote",17893,17893,17,"Medina, Matias H.Ramos-Jiliberto, Rodrigo","Future directions of Chilean ecotoxicology: Implications for the environmental risk assessment of veterinary products used in aquacultureREVISTA CHILENA DE HISTORIA NATURAL","REVISTA CHILENA DE HISTORIA NATURAL","443-457",82,"3",2009,NA,NA,"Cited By (since 2009): 2","NAhttps://scielo.conicyt.cl/pdf/rchnat/v82n3/art10.pdfinternal-pdf://0227911364/Medina-2009-Future directions of Chilean ecoto.pdf","10.4067/S0716-078X2009000300010","0227911364/Medina-2009-Future directions of Chilean ecoto.pdf","Bolivia","","","","","","",""
24706,8,"D. Handiani, A. Paul, M. Prange, U. Merkel, L. Dupont, X. Zhang","Tropical vegetation response to Heinrich Event 1 as simulated with the UVic ESCM and CCSM3",2013,"CLIMATE OF THE PAST",NA,NA,NA,908,"8/10/2018","Journal article","10.5194/cp-9-1683-2013",NA,NA,9,4,1683,1696,8,1.6,1,6,5,"english","in corpus","DOI present","english.enl","EndNote",4179,4179,17,"Handiani, D.Paul, A.Prange, M.Merkel, U.Dupont, L.Zhang, X.","Tropical vegetation response to Heinrich Event 1 as simulated with the UVic ESCM and CCSM3CLIMATE OF THE PAST","CLIMATE OF THE PAST","1683-1696",9,"4",2013,NA,NA,"Cited By (since 2013): 8","NAhttps://www.clim-past.net/9/1683/2013/cp-9-1683-2013.pdfinternal-pdf://1674132906/Handiani-2013-Tropical vegetation response to.pdf","10.5194/cp-9-1683-2013","1674132906/Handiani-2013-Tropical vegetation response to.pdf","Brazil","","","","","","",""
7227,34,"M. Toledo, L. Poorter, M. PeÒa-Claros, A. AlarcÛn, J. Balc·zar, J. ChuviÒa, C. LeaÒo, J.C. Licona, H. Ter Steege, F. Bongers","Patterns and Determinants of Floristic Variation across Lowland Forests of Bolivia",2011,"Biotropica",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959245000&partnerID=40&md5=edfca610c62d20562c96555c7f02c051",NA,7232,"8/10/2018","Article","10.1111/j.1744-7429.2010.00711.x",NA,NA,43,4,405,413,34,4.86,3,10,7,"english","in corpus","DOI present","english.enl","EndNote",22116,22116,2,"Toledo, M.Poorter, L.PeÒa-Claros, M.AlarcÛn, A.Balc·zar, J.ChuviÒa, J.LeaÒo, C.Licona, J. C.Steege, H. TerBongers, F.","Patterns and Determinants of Floristic Variation across Lowland Forests of Bolivia",NA,"405-413",NA,"Query date: 2018-08-10",2011,NA,NA,"43
Cited By (since 2011): 34","https://www.scopus.com/inward/record.url?eid=2-s2.0-79959245000&partnerID=40&md5=edfca610c62d20562c96555c7f02c051https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1744-7429.2010.00711.xinternal-pdf://0706252486/Toledo-2011-Patterns and Determinants of Flori.pdf","10.1111/j.1744-7429.2010.00711.x","0706252486/Toledo-2011-Patterns and Determinants of Flori.pdf","Bolivia","","","","","","",""
10170,13,"H.E. Ngodock, S.R. Smith, G.A. Jacobs","Cycling the representer algorithm for variational data assimilation with a nonlinear reduced gravity ocean model",2007,"Ocean Modelling",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34548860938&partnerID=40&md5=617ced173a21e41fa6a824712595dcbd",NA,10176,"8/10/2018","Article","10.1016/j.ocemod.2007.06.004",NA,NA,19,3,101,111,13,1.18,4,3,11,"english","in corpus","DOI present","english.enl","EndNote",25059,25059,2,"Ngodock, H. E.Smith, S. R.Jacobs, G. A.","Cycling the representer algorithm for variational data assimilation with a nonlinear reduced gravity ocean model",NA,"101-111",NA,"Query date: 2018-08-10",2007,NA,NA,"19
Cited By (since 2007): 13","https://www.scopus.com/inward/record.url?eid=2-s2.0-34548860938&partnerID=40&md5=617ced173a21e41fa6a824712595dcbdhttps://ac.els-cdn.com/S1463500307000832/1-s2.0-S1463500307000832-main.pdf?_tid=87b29e97-0e84-44ff-afc5-70ed3cd8e327&acdnat=1534178106_bed754e26ee1b38625d8a62acbb2d138internal-pdf://1218534301/Ngodock-2007-Cycling the representer algorithm.pdf","10.1016/j.ocemod.2007.06.004","1218534301/Ngodock-2007-Cycling the representer algorithm.pdf","0","","","","","","",""
27975,26,"Nesha Beharry-Borg, David A. Hensher, Riccardo Scarpa","An Analytical Framework for Joint vs Separate Decisions by Couples in Choice Experiments: The Case of Coastal Water Quality in Tobago",2009,"ENVIRONMENTAL & RESOURCE ECONOMICS",NA,NA,NA,4632,"8/10/2018","Journal article","10.1007/s10640-009-9283-7",NA,NA,43,1,95,117,26,2.89,9,3,9,"english","in corpus","DOI present","english.enl","EndNote",18477,18477,17,"Beharry-Borg, NeshaHensher, David A.Scarpa, Riccardo","An Analytical Framework for Joint vs Separate Decisions by Couples in Choice Experiments: The Case of Coastal Water Quality in TobagoENVIRONMENTAL & RESOURCE ECONOMICS","ENVIRONMENTAL & RESOURCE ECONOMICS","95-117",43,"1",2009,NA,NA,"Cited By (since 2009): 26","NAhttps://link.springer.com/content/pdf/10.1007%2Fs10640-009-9283-7.pdfinternal-pdf://3191927294/Beharry-Borg-2009-An Analytical Framework for.pdf","10.1007/s10640-009-9283-7","3191927294/Beharry-Borg-2009-An Analytical Framework for.pdf","Trinidad and Tobago","","","","","","",""
1123,4,"R.F. Semmler, W.C. Hoot, M.L. Reaka","Are mesophotic coral ecosystems distinct communities and can they serve as refugia for shallow reefs?",2017,"Coral Reefs",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85007413387&partnerID=40&md5=d8597323e7241aba4748b8cd0ad53536",NA,1123,"8/10/2018","Article","10.1007/s00338-016-1530-0",NA,NA,36,2,433,444,4,4,1,3,1,"english","in corpus","DOI present","english.enl","EndNote",5043,5043,2,"Semmler, R. F.Hoot, W. C.Reaka, M. L.","Are mesophotic coral ecosystems distinct communities and can they serve as refugia for shallow reefs?",NA,"433-444",NA,"Query date: 2018-08-10",2017,NA,NA,"36
Cited By (since 2017): 4","https://www.scopus.com/inward/record.url?eid=2-s2.0-85007413387&partnerID=40&md5=d8597323e7241aba4748b8cd0ad53536https://link.springer.com/content/pdf/10.1007%2Fs00338-016-1530-0.pdfinternal-pdf://1515649180/Semmler-2017-Are mesophotic coral ecosystems d.pdf","10.1007/s00338-016-1530-0","1515649180/Semmler-2017-Are mesophotic coral ecosystems d.pdf","0","","","","","","",""
17263,46,"L Barbiero, JPD Netol, G Ciornei, AY Sakamoto, B Capellari, E Fernandes, V Valles","Geochemistry of water and ground water in the Nhecolandia, Pantanal of Mato Grosso, Brazil: Variability and associated processes",2002,"WETLANDS",NA,NA,NA,3146,"8/10/2018","Journal article","10.1672/0277-5212(2002)022[0528:GOWAGW]2.0.CO;2",NA,NA,22,3,528,540,46,2.88,7,7,16,"english","in corpus","DOI present","english.enl","EndNote",807,807,17,"Barbiero, LaurentNeto, Jose P. de QueirozCiornei, GillesSakamoto, Arnaldo Y.Capellari, BenjaminFernandes, ErminioValles, Vincent","Geochemistry of water and ground water in the Nhecolandia, Pantanal of Mato Grosso, Brazil: Variability and associated processesWetlands","WETLANDS","528-540",22,"3",2002,NA,NA,"Cited By (since 2002): 31","NAhttps://link.springer.com/content/pdf/10.1672%2F0277-5212%282002%29022%5B0528%3AGOWAGW%5D2.0.CO%3B2.pdfinternal-pdf://1327308893/Barbiero-2002-Geochemistry of water and ground.pdf","10.1672/0277-5212(2002)022[0528:GOWAGW]2.0.CO;2","1327308893/Barbiero-2002-Geochemistry of water and ground.pdf","Brazil","","","","","","",""
5892,3,"M.S. Barria De Cao, M.C.L. Abbate, R.E. Pettigrosso, M.S. Hoffmeyer","The planktonic ciliate community and its relationship with the environmental conditions and water quality in two bays of the Beagle Channel, Argentina",2013,"Journal of the Marine Biological Association of the United Kingdom",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922665081&partnerID=40&md5=66372d62dd612fa448e11ec57a00571c",NA,5897,"8/10/2018","Article","10.1017/S0025315413000349",NA,NA,93,7,1753,1760,3,0.6,1,4,5,"english","in corpus","DOI present","english.enl","EndNote",20781,20781,2,"Cao, M. S. Barria DeAbbate, M. C. L.Pettigrosso, R. E.Hoffmeyer, M. S.","The planktonic ciliate community and its relationship with the environmental conditions and water quality in two bays of the Beagle Channel, Argentina",NA,"1753-1760",NA,"Query date: 2018-08-10",2013,NA,NA,"93
Cited By (since 2013): 3","https://www.scopus.com/inward/record.url?eid=2-s2.0-84922665081&partnerID=40&md5=66372d62dd612fa448e11ec57a00571chttps://www.cambridge.org/core/services/aop-cambridge-core/content/view/A20C4C30043D8FA2432453705027C84D/S0025315413000349a.pdf/div-class-title-the-planktonic-ciliate-community-and-its-relationship-with-the-environmental-conditions-and-water-quality-in-two-bays-of-the-beagle-channel-argentina-div.pdfinternal-pdf://3935915806/Cao-2013-The planktonic ciliate community and.pdf","10.1017/S0025315413000349","3935915806/Cao-2013-The planktonic ciliate community and.pdf","Argentina","","","","","","",""
5401,7,"P. Maziero, J. Jong, F.M. Mendes, A.R. GonÁalves, M. Eder, C. Driemeier","Tissue-specific cell wall hydration in sugarcane stalks",2013,"Journal of Agricultural and Food Chemistry",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84879374749&partnerID=40&md5=8d6af6189c8d9d12caff1893d78c9ac9",NA,5406,"8/10/2018","Article","10.1021/jf401243c",NA,NA,61,24,5841,5847,7,1.4,1,6,5,"english","in corpus","DOI present","english.enl","EndNote",20290,20290,2,"Maziero, P.Jong, J.Mendes, F. M.GonÁalves, A. R.Eder, M.Driemeier, C.","Tissue-specific cell wall hydration in sugarcane stalks",NA,"5841-5847",NA,"Query date: 2018-08-10",2013,NA,NA,"61
Cited By (since 2013): 7","https://www.scopus.com/inward/record.url?eid=2-s2.0-84879374749&partnerID=40&md5=8d6af6189c8d9d12caff1893d78c9ac9https://pubs.acs.org/doi/pdfplus/10.1021/jf401243cinternal-pdf://2494249700/Maziero-2013-Tissue-specific cell wall hydrati.pdf","10.1021/jf401243c","2494249700/Maziero-2013-Tissue-specific cell wall hydrati.pdf","Brazil","","","","","","",""
