LVL,Country.1,Country.2,Country.3,Country.4,Country.5,Country.6,Country.7,Country.8
0,0,,,,,,,
 Bolivia,Bolivia,,,,,,,
0,0,,,,,,,
Algeria,0,,,,,,,
Anguilla,0,,,,,,,
Argentina,Argentina,,,,,,,
ARGENTINA,Argentina,,,,,,,
Argentina ,Argentina,Brazil,,,,,,
"Argentina, Brazil",Argentina,Chile,Uruguay,,,,,
"Argentina, Chile, Uruguay",Argentina,,,,,,,
Bahamas,Bahamas,,,,,,,
"Bahamas,",Bahamas,,,,,,,
Barbados,Barbados,,,,,,,
"Barbados, Bermuda, Ireland, Spain",Barbados,,,,,,,
Belize,Belize,,,,,,,
"Belize, Guatemala",Belize,Guatemala,,,,,,
"Belize, Mexico",Belize,Mexico,,,,,,
"Belize, Panama",Belize,Panama,,,,,,
Bolivia,Bolivia,,,,,,,
Bolivia ,Bolivia,,,,,,,
"Bolivia, Brazil, Peru",Bolivia,Brazil,Peru,,,,,
"Bolivia, Paraguay, Argentina",Bolivia,Paraguay,Argentina,,,,,
"Bolivia, Peru",Bolivia,Peru,,,,,,
"Bolivia, Switzerland",Bolivia,,,,,,,
Brasil,Brazil,,,,,,,
brazil,Brazil,,,,,,,
Brazil,Brazil,,,,,,,
BRAZIL,Brazil,,,,,,,
Brazil ,Brazil,,,,,,,
Brazil (northeastern),Brazil,,,,,,,
"Brazil, ",Brazil,,,,,,,
"Brazil, Argentina, Paraguay",Brazil,Paraguay,Argentina,,,,,
"Brazil, Benguela",Brazil,,,,,,,
"Brazil, Bolivia, Paraguay, Argentina",Brazil,Paraguay,Argentina,Bolivia,,,,
"Brazil, Bolivia, Peru",Brazil,Bolivia,Peru,,,,,
"Brazil, Germany, the Czech Republic, Sultanate of Oman, Mongolia, Antarctica, France, USA",Brazil,,,,,,,
"Brazil, India, Middle East",Brazil,,,,,,,
"Brazil, Mexico",Brazil,Mexico,,,,,,
"Brazil, Urguay, Argentina",Brazil,Uruguay,Argentina,,,,,
"Brazil, Uruguay",Brazil,Uruguay,,,,,,
"Brazil, USA",Brazil,,,,,,,
"Brazil, West African Countries",Brazil,,,,,,,
"California, Colorado, Victoria, Chile",Chile,,,,,,,
Caribbean,Caribbean,,,,,,,
Caribbean Islands,Caribbean,,,,,,,
"Caribbean, Australia",Caribbean,,,,,,,
"Caribbien, Panama, Colombia, Ecuador, Peru, Costa Rica, Nicaragua, Panama ",Caribbean,Panama,Colombia,Ecuador,Peru,Costa Rica,Nicaragua,
Carribean,Caribbean,,,,,,,
Cayman Islands,0,,,,,,,
Chile,Chile,,,,,,,
Chile ,Chile,,,,,,,
Chile (northern),Chile,,,,,,,
"Chile, Argentina",Chile,Argentina,,,,,,
"Chile, Columbia",Chile,Colombia,,,,,,
"Chile, Japan",Chile,,,,,,,
"Chile, Madagascar, Sweden",Chile,,,,,,,
"Chile, Sumatra",Chile,,,,,,,
Chilean Patagonia,Chile,,,,,,,
Colombia,Colombia,,,,,,,
Columbia,Colombia,,,,,,,
"Columbia, Bolivia",Colombia,Bolivia,,,,,,
Costa Rica,Costa Rica,,,,,,,
Cuba,Cuba,,,,,,,
Curaçao,0,,,,,,,
Dominican Republic,Dominican Republic,,,,,,,
East Antarctica,0,,,,,,,
Ecuador,Ecuador,,,,,,,
ECUADOR,Ecuador,,,,,,,
"Egypt, Spain, Germany, Algeria, Australia, Paraguay, Russia, USA, France, Canada, Brazil, China",Paraguay,Brazil,,,,,,
El Salvador,El Salvador,,,,,,,
FALSE ,0,,,,,,,
French Guiana,0,,,,,,,
Frenvh Guiana,0,,,,,,,
Global,0,,,,,,,
Global (regions were given in each continent except for Antarctica),0,,,,,,,
Greece,0,,,,,,,
Guadeloupe,0,,,,,,,
Guatemala,Guatemala,,,,,,,
Gulf of Mexico,0,,,,,,,
Haiti,Haiti,,,,,,,
Honduras,Honduras,,,,,,,
Indonesia,0,,,,,,,
Italy,0,,,,,,,
Jamaica,Jamaica,,,,,,,
Japan,0,,,,,,,
Lesser Antilles,0,,,,,,,
Mariana Trench,0,,,,,,,
Mexico,Mexico,,,,,,,
Mexico ,Mexico,,,,,,,
Mexico (central),Mexico,,,,,,,
Mexico (northeastern),Mexico,,,,,,,
Mexico (Northern),Mexico,,,,,,,
"Mexico, China, Spain, USA",Mexico,,,,,,,
"Mexico, Germany ",Mexico,,,,,,,
"Mexico, Spain",Mexico,,,,,,,
"Mexico, the Netherlands, Canada, Romania, Turkey",Mexico,,,,,,,
"Mexico, U.S.A",Mexico,,,,,,,
"Mexico, United States",Mexico,,,,,,,
"Mexico, US",Mexico,,,,,,,
"Mexico, USA",Mexico,,,,,,,
Montserrat,0,,,,,,,
N/A,0,,,,,,,
Nicaragua,Nicaragua,,,,,,,
Pan America,0,,,,,,,
Panama,Panama,,,,,,,
"Paraguay, Uruguay, Brazil, Argentina, Bolivia",Paraguay,Uruguay,Brazil,Argentina,Bolivia,,,
Peru,Peru,,,,,,,
"Peru, Chile",Peru,Chile,,,,,,
Porto Rico,0,,,,,,,
Puerto Rico,0,,,,,,,
South America,0,,,,,,,
"Southern Mexico, Guatemala, Belize, El Salvador, Honduras, Nicaragua, Costa Rica, Panama",Mexico,Guatemala,Belize,El Salvador,Honduras,Nicaragua,Costa Rica,Panama
Spain,0,,,,,,,
SPRINKLERS,0,,,,,,,
The Bahamas,Bahamas,,,,,,,
Trinidad,Trinidad and Tobago,,,,,,,
Trinidad and Tobago,Trinidad and Tobago,,,,,,,
"Trinidad, Tapago",Trinidad and Tobago,,,,,,,
"U.S., Columbia, Greece, Romania, Japan, Korea, Pakistan, Kuwait, Saudi Arabia, India, Vietnam, China",Colombia,,,,,,,
"U.S., Mexico",Mexico,,,,,,,
"UK, Argentina",Argentina,,,,,,,
United States,0,,,,,,,
United States ,0,,,,,,,
Uruguay,Uruguay,,,,,,,
"Uruguay, Denmark",Uruguay,,,,,,,
"US, Colombia",Colombia,,,,,,,
"US, Mexico",Mexico,,,,,,,
USA,0,,,,,,,
"USA, Mexico",Mexico,,,,,,,
"USA, Mexico, Canada",Mexico,,,,,,,
"USA, Mexico, China",Mexico,,,,,,,
"Venezuala, Brazil",Venezuela,Brazil,,,,,,
Venezuela,Venezuela,,,,,,,
