"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source-app","rec-number","foreign-keys","ref-type","contributors","titles","pages","number","dates","publisher","isbn","notes","urls","electronic-resource-num","periodical","volume","pdfs"
"382",7,"R.N. Abers, R.M. Formiga-Yohnsson, B. Frank, M.E. Keck, M.C. Lemos","Inclusion, deliberation and control: The three dimensions of democracy in committees and consortia of brazilian river basins [Inclusão, deliberação e controle: Três dimensões dedemocracia nos comitês e consórcios de bacias hidrográficas no Brasil]",2009,"Ambiente e Sociedade",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76149108424&doi=10.1590%2fS1414-753X2009000100009&partnerID=40&md5=6f5aa2a1b05bfb64eafb8ec186adac5d",NA,383,"8/10/2018","Article","10.1590/S1414-753X2009000100009",NA,NA,12,1,115,132,7,0.78,1,5,9,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","560","560","2","Abers, R. N.Formiga-Yohnsson, R. M.Frank, B.Keck, M. E.Lemos, M. C.","Inclusion, deliberation and control: The three dimensions of democracy in committees and consortia of brazilian river basins [Inclusão, deliberação e controle: Três dimensões dedemocracia nos comitês e consórcios de bacias hidrográficas no Brasil]","115-132","Query date: 2018-08-10",2009,"NA","NA","12Cited By (since 2009): 7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76149108424&doi=10.1590%2fS1414-753X2009000100009&partnerID=40&md5=6f5aa2a1b05bfb64eafb8ec186adac5dhttp://www.scielo.br/pdf/asoc/v12n1/v12n1a09.pdfinternal-pdf://2459042587/Abers-2009-Inclusion, deliberation and control.pdf","10.1590/S1414-753X2009000100009",NA,NA,"2459042587/Abers-2009-Inclusion, deliberation and control.pdf"
"645",0,"Carlos Henrique Medeiros de Abreu, Alan Cavalcanti Cunha","Water quality and trophic index in tropical riverine ecosystem under environmental impact",2017,"Engenharia Sanitaria e Ambiental",NA,NA,NA,42,"8/10/2018","Journal article","10.1590/s1413-41522016144803",NA,NA,22,1,45,56,0,0,0,2,1,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","93","93","17","Abreu, Carlos Henrique Medeiros deCunha, Alan Cavalcanti","Water quality and trophic index in tropical riverine ecosystem under environmental impactEngenharia Sanitaria e Ambiental","45-56","1",2017,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v22n1/1809-4457-esa-S1413_41522016144803.pdfinternal-pdf://0465616384/Abreu-2017-Water quality and trophic index in.pdf","10.1590/s1413-41522016144803","Engenharia Sanitaria e Ambiental","22","0465616384/Abreu-2017-Water quality and trophic index in.pdf"
"637",0,"Fernando Girardi de Abreu, LÃ´ide Angelini Sobrinha, JoÃ£o Luiz Boccia BrandÃ£o","The analysis of time distribution of rainfall in heavy storms",2017,"Engenharia Sanitaria e Ambiental",NA,NA,NA,34,"8/10/2018","Journal article","10.1590/s1413-41522016146750",NA,NA,22,2,239,250,0,0,0,3,1,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","75","75","17","Abreu, Fernando Girardi deSobrinha, LÃ´ide AngeliniBrandÃ£o, JoÃ£o Luiz Boccia","The analysis of time distribution of rainfall in heavy stormsEngenharia Sanitaria e Ambiental","239-250","2",2017,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v22n2/1809-4457-esa-s1413-41522016146750.pdfinternal-pdf://3990924341/Abreu-2017-The analysis of time distribution o.pdf","10.1590/s1413-41522016146750","Engenharia Sanitaria e Ambiental","22","3990924341/Abreu-2017-The analysis of time distribution o.pdf"
"171",7,"M.L. de Abreu, M.A. Silva, I. Teodoro, L.A. de Holanda, G.D.S. Neto","Growth and productivity of sugarcane varieties as affected by water availability in the Coastal Tablelands of the Alagoas State, Brazil [Crescimento e produtividade de cana-de-açúcar em função da disponibilidade hídrica dos Tabuleiros Costeiros de Alagoas]",2013,"Bragantia",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887193075&doi=10.1590%2fbrag.2013.028&partnerID=40&md5=7e2da2b75c4999206adcd4b6f480abf4",NA,172,"8/10/2018","Article","10.1590/brag.2013.028",NA,NA,72,3,262,270,7,1.4,1,5,5,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","349","349","2","Abreu, M. L. deSilva, M. A.Teodoro, I.Holanda, L. A. deNeto, G. D. S.","Growth and productivity of sugarcane varieties as affected by water availability in the Coastal Tablelands of the Alagoas State, Brazil [Crescimento e produtividade de cana-de-açúcar em função da disponibilidade hídrica dos Tabuleiros Costeiros de Alagoas]","262-270","Query date: 2018-08-10",2013,"NA","NA","72Cited By (since 2013): 7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887193075&doi=10.1590%2fbrag.2013.028&partnerID=40&md5=7e2da2b75c4999206adcd4b6f480abf4http://www.scielo.br/pdf/brag/v72n3/09.pdfinternal-pdf://2795378284/Abreu-2013-Growth and productivity of sugarcan.pdf","10.1590/brag.2013.028",NA,NA,"2795378284/Abreu-2013-Growth and productivity of sugarcan.pdf"
"705",1,"Cali Laguna Achon, Marcelo Melo Barroso, JoÃ£o SÃ©rgio Cordeiro","Residues of water treatment plants and ISO 24512: challenge of the Brazilian sanitation",2013,"Engenharia Sanitaria e Ambiental",NA,NA,NA,102,"8/10/2018","Journal article","10.1590/S1413-41522013000200003",NA,NA,18,2,115,122,1,0.2,0,3,5,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","218","218","17","Achon, Cali LagunaBarroso, Marcelo MeloCordeiro, JoÃ£o SÃ©rgio","Residues of water treatment plants and ISO 24512: challenge of the Brazilian sanitationEngenharia Sanitaria e Ambiental","115-122","2",2013,"NA","NA","Cited By (since 2013): 1","NAhttp://www.scielo.br/pdf/esa/v18n2/a03v18n2.pdfinternal-pdf://3208301947/Achon-2013-Residues of water treatment plants.pdf","10.1590/S1413-41522013000200003","Engenharia Sanitaria e Ambiental","18","3208301947/Achon-2013-Residues of water treatment plants.pdf"
"678",0,"Moema Versiani Acselrad, JosÃ© Paulo Soares de Azevedo, Rosa Maria Formiga-Johnsson","Bulk water use charges in the State of Rio de Janeiro, Brazil (2004-2013): historical record and current challenges",2015,"Engenharia Sanitaria e Ambiental",NA,NA,NA,75,"8/10/2018","Journal article","10.1590/S1413-41522015020000112026",NA,NA,20,2,199,208,0,0,0,3,3,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","165","165","17","Acselrad, Moema VersianiAzevedo, JosÃ© Paulo Soares deFormiga-Johnsson, Rosa Maria","Bulk water use charges in the State of Rio de Janeiro, Brazil (2004-2013): historical record and current challengesEngenharia Sanitaria e Ambiental","199-208","2",2015,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v20n2/1413-4152-esa-20-02-00199.pdfinternal-pdf://1742987468/Acselrad-2015-Bulk water use charges in the St.pdf","10.1590/S1413-41522015020000112026","Engenharia Sanitaria e Ambiental","20","1742987468/Acselrad-2015-Bulk water use charges in the St.pdf"
"608",0,"Daniela Vantil Agrizzi, Roberto Avelino CecÃ­lio, Sidney SÃ¡ra Zanetti, Giovanni de Oliveira Garcia, AtanÃ¡sio Alves do Amaral, Elziane Favoreto Alves Firmino, Natalia Gomes de Souza Mendes","Quality of the water from the springs of the ParaÃ­so settlement",2018,"Engenharia Sanitaria e Ambiental",NA,NA,NA,5,"8/10/2018","Journal article","10.1590/s1413-41522018150701",NA,NA,23,3,557,568,0,0,0,7,1,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","16","16","17","Agrizzi, Daniela VantilCecÃ­lio, Roberto AvelinoZanetti, Sidney SÃ¡raGarcia, Giovanni de OliveiraAmaral, AtanÃ¡sio Alves doFirmino, Elziane Favoreto AlvesMendes, Natalia Gomes de Souza","Quality of the water from the springs of the ParaÃ­so settlementEngenharia Sanitaria e Ambiental","557-568","3",2018,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v23n3/1809-4457-esa-23-03-557.pdfinternal-pdf://1628566229/Agrizzi-2018-Quality of the water from the spr.pdf","10.1590/s1413-41522018150701","Engenharia Sanitaria e Ambiental","23","1628566229/Agrizzi-2018-Quality of the water from the spr.pdf"
"305",3,"A.F. Almeida, M.A.G. Jardim","Floristic and structure of tree community of a floodplain forest in Sororoca Island, Ananindeua, Pará, Brazil [Florística e estrutura da comunidade arbórea de uma floresta de várzea na Ilha de Sororoca, Ananindeua, Pará, Brasil]",2011,"Scientia Forestalis/Forest Sciences",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960947303&partnerID=40&md5=a56f54683b976a21e774dbc83b8638a3",NA,306,"8/10/2018","Article","",NA,NA,NA,90,191,198,3,0.43,2,2,7,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","483","4830","2","Almeida, A. F.Jardim, M. A. G.","Floristic and structure of tree community of a floodplain forest in Sororoca Island, Ananindeua, Pará, Brazil [Florística e estrutura da comunidade arbórea de uma floresta de várzea na Ilha de Sororoca, Ananindeua, Pará, Brasil]","191-198","Query date: 2018-08-10",2011,"NA","NA","Cited By (since 2011): 3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960947303&partnerID=40&md5=a56f54683b976a21e774dbc83b8638a3",NA,NA,NA,"manual_download_portuguese/14/14.pdf"
"376",7,"T.I.R. de Almeida, A.C. Paranhos Filho, M.M. da Rocha, G.F. de Souza, J.B. Sígolo, R.A. Bertolo","An altimetry study on the differences of the water level of saline and fresh water lakes in the pantanal of nhecolândia: An indication of the functioning mechanism of the mega system of lakes [Estudo sobre as diferenças de altimetria do nível da água de lagoas salinas e hipossalinas no pantanal da nhecolândia: Um indicativo de funcionamento do mega sistema lacustre]",2009,"Geociencias",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950656120&partnerID=40&md5=85207dec68ca4ba0c06417794b1b0709",NA,377,"8/10/2018","Article","",NA,NA,28,4,401,415,7,0.78,1,6,9,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","554","5540","2","Almeida, T. I. R. deFilho, A. C. ParanhosRocha, M. M. daSouza, G. F. deSígolo, J. B.Bertolo, R. A.","An altimetry study on the differences of the water level of saline and fresh water lakes in the pantanal of nhecolândia: An indication of the functioning mechanism of the mega system of lakes [Estudo sobre as diferenças de altimetria do nível da água de lagoas salinas e hipossalinas no pantanal da nhecolândia: Um indicativo de funcionamento do mega sistema lacustre]","401-415","Query date: 2018-08-10",2009,"NA","NA","28Cited By (since 2009): 7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950656120&partnerID=40&md5=85207dec68ca4ba0c06417794b1b0709",NA,NA,NA,"manual_download_portuguese/18/Art05_Almeida.pdf"
"16",0,"E.S. Alves, D.F. Lima, J.A.S. Barreto, D.P. Dos Santos, M.A.L. Dos Santos","Determination of cultivation coefficient to radish culture using drainage lysimetry [Determinação do coeficiente de cultivo para a cultura do rabanete através de lisimetria de drenagem]",2017,"IRRIGA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019030305&doi=10.15809%2firriga.2017v22n1p194-203&partnerID=40&md5=2d726f38b65f41f95ff0495a1ddff243",NA,16,"8/10/2018","Article","10.15809/irriga.2017v22n1p194-203",NA,NA,22,1,194,203,0,0,0,5,1,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","38","38","2","Alves, E. S.Lima, D. F.Barreto, J. A. S.Santos, D. P. DosSantos, M. A. L. Dos","Determination of cultivation coefficient to radish culture using drainage lysimetry [Determinação do coeficiente de cultivo para a cultura do rabanete através de lisimetria de drenagem]","194-203","Query date: 2018-08-10",2017,"NA","NA","22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019030305&doi=10.15809%2firriga.2017v22n1p194-203&partnerID=40&md5=2d726f38b65f41f95ff0495a1ddff243http://irriga.fca.unesp.br/index.php/irriga/article/download/2238/1666internal-pdf://1779004593/Alves-2017-Determination of cultivation coeffi.pdf","10.15809/irriga.2017v22n1p194-203",NA,NA,"1779004593/Alves-2017-Determination of cultivation coeffi.pdf"
