"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source-app","rec-number","foreign-keys","ref-type","contributors","titles","pages","number","dates","publisher","isbn","urls","notes","periodical","volume","electronic-resource-num","pdfs"
"688",11,"M. Abreu-PÈrez, F.A. SolÌs-MarÌn, A. Laguarda-Figueras","Catalogue of neritic-benthonic echinoderms (Echinodermata: Asteroidea and Ophiuroidea) from the Cuban Archipelago [Cat·logo de los equinodermos (Echinodermata: Asteroidea y Ophiuroidea) nerÌtico-bentÛnicos del ArchipiÈlago Cubano.]",2005,"Revista de biologÌa tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548044195&partnerID=40&md5=71831c9e9f6b7ebeae18aefc7acff015",NA,688,"8/10/2018","Article","",NA,NA,53,NA,29,52,11,0.85,4,3,13,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1082","10820","2","Abreu-PÈrez, M.SolÌs-MarÌn, F. A.Laguarda-Figueras, A.","Catalogue of neritic-benthonic echinoderms (Echinodermata: Asteroidea and Ophiuroidea) from the Cuban Archipelago [Cat·logo de los equinodermos (Echinodermata: Asteroidea y Ophiuroidea) nerÌtico-bentÛnicos del ArchipiÈlago Cubano.]","29-52","Query date: 2018-08-10",2005,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548044195&partnerID=40&md5=71831c9e9f6b7ebeae18aefc7acff015","53Cited By (since 2005): 11",NA,NA,NA,"manual_download_spanish/2/26665-70938-1-SM.pdf"
"657",4,"A. Abril, C. Biasutti, R. Maich, L. Dubini, L. Noe","Inoculation with Azospirillum spp. in the semiarid-central region of Argentina: Factors involved in rhizosphere colonization [InoculaciÛn con Azospirillum spp. en la regiÛn semi·rida-central de la Argentina: Factores que afectan la colonizaciÛn rizosfÈrica]",2006,"Handbook of Environmental Chemistry, Volume 5: Water Pollution",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947318369&partnerID=40&md5=d16eb0241f57ea445a629c8336e08975",NA,657,"8/10/2018","Article","",NA,NA,24,1,11,19,4,0.33,1,5,12,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1051","10510","2","Abril, A.Biasutti, C.Maich, R.Dubini, L.Noe, L.","Inoculation with Azospirillum spp. in the semiarid-central region of Argentina: Factors involved in rhizosphere colonization [InoculaciÛn con Azospirillum spp. en la regiÛn semi·rida-central de la Argentina: Factores que afectan la colonizaciÛn rizosfÈrica]","11-19","Query date: 2018-08-10",2006,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947318369&partnerID=40&md5=d16eb0241f57ea445a629c8336e08975","24Cited By (since 2006): 4",NA,NA,NA,"manual_download_spanish/3/v24n1a02.pdf"
"577",12,"O. Acosta, E. Custodio","Environmental impact of groundwater abstractions in the Salar del Huasco (Northern Chile) [Impactos ambientales de las extracciones de agua subterr·nea en el Salar del Huasco (norte de Chile)]",2008,"Boletin Geologico y Minero",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749084377&partnerID=40&md5=d6475e3e2575d4c3107c383e814865ff",NA,577,"8/10/2018","Article","",NA,NA,119,1,33,50,12,1.2,6,2,10,"spanish","in corpus","DOI absent","spanish.enl","EndNote","971","9710","2","Acosta, O.Custodio, E.","Environmental impact of groundwater abstractions in the Salar del Huasco (Northern Chile) [Impactos ambientales de las extracciones de agua subterr·nea en el Salar del Huasco (norte de Chile)]","33-50","Query date: 2018-08-10",2008,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749084377&partnerID=40&md5=d6475e3e2575d4c3107c383e814865ff","119Cited By (since 2008): 12",NA,NA,NA,"manual_download_spanish/5/ARTICULO 3.pdf"
"890",16,"V. Acosta, L. Freites, C. Lodeiros","Densidad, crecimiento y supervivencia de juveniles de Lyropecten (Nodipecten) nodosus (Pteroida: Pectinidae) en cultivo suspendido en el Golfo de Cariaco, Venezuela",2000,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005381499&partnerID=40&md5=6d6a91e6015dc6f189362c4df1f132b9",NA,890,"8/10/2018","Article","",NA,NA,48,4,799,806,16,0.89,5,3,18,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1284","12840","2","Acosta, V.Freites, L.Lodeiros, C.","Densidad, crecimiento y supervivencia de juveniles de Lyropecten (Nodipecten) nodosus (Pteroida: Pectinidae) en cultivo suspendido en el Golfo de Cariaco, Venezuela","799-806","Query date: 2018-08-10",2000,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005381499&partnerID=40&md5=6d6a91e6015dc6f189362c4df1f132b9","48Cited By (since 2000): 16",NA,NA,NA,"manual_download_spanish/7/18899-41106-1-SM.pdf"
"713",11,"J. AcuÒa-Gonz·lez, J.A. Vargas-Zamora, E. GÛmez-RamÌrez, J. GarcÌa-CÈspedes","Dissolved and dispersed petroleum hydrocarbons in four coastal environments of Costa Rica [Hidrocarburos de petrÛleo, disueltos y dispersos, en cuatro ambientes costeros de Costa Rica]",2004,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13944262568&partnerID=40&md5=135a3abe4869df5ac1a2c9cdacf06774",NA,713,"8/10/2018","Article","",NA,NA,52,NA,43,50,11,0.79,3,4,14,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1107","11070","2","AcuÒa-Gonz·lez, J.Vargas-Zamora, J. A.GÛmez-RamÌrez, E.GarcÌa-CÈspedes, J.","Dissolved and dispersed petroleum hydrocarbons in four coastal environments of Costa Rica [Hidrocarburos de petrÛleo, disueltos y dispersos, en cuatro ambientes costeros de Costa Rica]","43-50","Query date: 2018-08-10",2004,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-13944262568&partnerID=40&md5=135a3abe4869df5ac1a2c9cdacf06774","52Cited By (since 2004): 11",NA,NA,NA,"manual_download_spanish/8/26575-70552-1-SM.pdf"
"1258",0,"Manfred van Afferden, Anne M. Hansen, Franklin Torres-Bejarano","Remediation of the cencali lagoon, villahermosa, Tabasco. II. Process design",2008,"INGENIERIA HIDRAULICA EN MEXICO",NA,NA,NA,231,"8/10/2018","Journal article","",NA,NA,23,1,57,70,0,0,0,3,10,"spanish","in corpus","DOI absent","spanish.enl","EndNote","521","5210","17","Afferden, Manfred vanHansen, Anne M.Torres-Bejarano, Franklin","Remediation of the cencali lagoon, villahermosa, Tabasco. II. Process designINGENIERIA HIDRAULICA EN MEXICO","57-70","1",2008,"NA","NA","NA",NA,"INGENIERIA HIDRAULICA EN MEXICO","23",NA,"manual_download_spanish/10/document.pdf"
"576",0,"M. van Afferden, A.M. Hansen, F. Torres-Bejarano","Remediation of the Cencali lagoon, Villahermosa, Tabasco. II. Process design [Saneamiento del vaso Cencali, Villahermosa, Tabasco. II. DiseÒo del proceso]",2008,"Ingenieria Hidraulica en Mexico",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949093515&partnerID=40&md5=c7d5ab5f198f109edeac6fada0189606",NA,576,"8/10/2018","Article","",NA,NA,23,1,57,70,0,0,0,3,10,"spanish","in corpus","DOI absent","spanish.enl","EndNote","970","9700","2","Afferden, M. vanHansen, A. M.Torres-Bejarano, F.","Remediation of the Cencali lagoon, Villahermosa, Tabasco. II. Process design [Saneamiento del vaso Cencali, Villahermosa, Tabasco. II. DiseÒo del proceso]","57-70","Query date: 2018-08-10",2008,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949093515&partnerID=40&md5=c7d5ab5f198f109edeac6fada0189606","23",NA,NA,NA,"manual_download_spanish/11/215976.pdf"
"454",0,"M.C.D. Aguilar","Recent processes of access to drinking water in the urban areas of Mexico: The case of study of the Conurbation Zone of Merida, Yucat·n [Procesos recientes del acceso al agua potable en el MÈxico urbano: El Caso de la Zona Conurbada de MÈrida, Yucat·n]",2009,"Investigaciones Geograficas",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649566622&partnerID=40&md5=7661bf4b01d52bdac1db8dd3aee50f31",NA,454,"8/10/2018","Article","",NA,NA,69,NA,68,84,0,0,0,1,9,"spanish","in corpus","DOI absent","spanish.enl","EndNote","848","8480","2","Aguilar, M. C. D.","Recent processes of access to drinking water in the urban areas of Mexico: The case of study of the Conurbation Zone of Merida, Yucat·n [Procesos recientes del acceso al agua potable en el MÈxico urbano: El Caso de la Zona Conurbada de MÈrida, Yucat·n]","68-84","Query date: 2018-08-10",2009,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649566622&partnerID=40&md5=7661bf4b01d52bdac1db8dd3aee50f31","69",NA,NA,NA,"manual_download_spanish/12/Recent_processes_of_access_to_drinking_water_in_th.pdf"
"825",2,"T. Aguilar, J. CortÈs","Arrecifes coralinos del Oligoceno Superior-Mioceno Inferior, de Turrialba, Costa Rica",2001,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346296790&partnerID=40&md5=f64c318a70960a435ff11878340bcba6",NA,825,"8/10/2018","Article","",NA,NA,49,NA,203,213,2,0.12,1,2,17,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1219","12190","2","Aguilar, T.CortÈs, J.","Arrecifes coralinos del Oligoceno Superior-Mioceno Inferior, de Turrialba, Costa Rica","203-213","Query date: 2018-08-10",2001,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346296790&partnerID=40&md5=f64c318a70960a435ff11878340bcba6","49Cited By (since 2001): 2",NA,NA,NA,"manual_download_spanish/13/26328-69278-1-SM.pdf"
"1031",0,"Ismael Aguilar-Benitez, Perla A. Blanco","Methane recovery and reduction of greenhouse gas emissions: WWTP Nuevo Laredo, Tamaulipas, Mexico",2018,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,4,"8/10/2018","Journal article","10.24850/j-tyca-2018-02-04",NA,NA,9,2,86,114,0,0,0,2,1,"spanish","in corpus","DOI present","spanish.enl","EndNote","10","100","17","Aguilar-Benitez, IsmaelBlanco, Perla A.","Methane recovery and reduction of greenhouse gas emissions: WWTP Nuevo Laredo, Tamaulipas, MexicoTECNOLOGIA Y CIENCIAS DEL AGUA","86-114","2",2018,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","9","10.24850/j-tyca-2018-02-04","manual_download_spanish/14/Aguilar-BenitezBlanco-Jara_2018.pdf"
