"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source-app","rec-number","foreign-keys","ref-type","contributors","titles","pages","number","dates","publisher","isbn","urls","notes","periodical","volume","electronic-resource-num","pdfs"
"1010",0,"R. Claveran A., C. Sanchez B., S. Paulin W., A. De Alba A.","Integrated management in the watershed ""El Plateado' [Manejo integrado de la cuenca hidrologica ""El Plateado']",1987,"General Technical Report - US Department of Agriculture, Forest Service",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023486693&partnerID=40&md5=cc26d5d7440fc6dde4cd6ea739fb39b8",NA,1010,"8/10/2018","Article","",NA,NA,NA,NA,225,231,0,0,0,4,31,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","1404","14040","2","A, R. ClaveranB, C. SanchezW, S. PaulinA, A. De Alba","Integrated management in the watershed ""El Plateado' [Manejo integrado de la cuenca hidrologica ""El Plateado']","225-231","Query date: 2018-08-10",1987,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023486693&partnerID=40&md5=cc26d5d7440fc6dde4cd6ea739fb39b8",NA,NA,NA,NA,NA
"688",11,"M. Abreu-PÈrez, F.A. SolÌs-MarÌn, A. Laguarda-Figueras","Catalogue of neritic-benthonic echinoderms (Echinodermata: Asteroidea and Ophiuroidea) from the Cuban Archipelago [Cat·logo de los equinodermos (Echinodermata: Asteroidea y Ophiuroidea) nerÌtico-bentÛnicos del ArchipiÈlago Cubano.]",2005,"Revista de biologÌa tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548044195&partnerID=40&md5=71831c9e9f6b7ebeae18aefc7acff015",NA,688,"8/10/2018","Article","",NA,NA,53,NA,29,52,11,0.85,4,3,13,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1082","10820","2","Abreu-PÈrez, M.SolÌs-MarÌn, F. A.Laguarda-Figueras, A.","Catalogue of neritic-benthonic echinoderms (Echinodermata: Asteroidea and Ophiuroidea) from the Cuban Archipelago [Cat·logo de los equinodermos (Echinodermata: Asteroidea y Ophiuroidea) nerÌtico-bentÛnicos del ArchipiÈlago Cubano.]","29-52","Query date: 2018-08-10",2005,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548044195&partnerID=40&md5=71831c9e9f6b7ebeae18aefc7acff015","53Cited By (since 2005): 11",NA,NA,NA,"manual_download_spanish/2/26665-70938-1-SM.pdf"
"657",4,"A. Abril, C. Biasutti, R. Maich, L. Dubini, L. Noe","Inoculation with Azospirillum spp. in the semiarid-central region of Argentina: Factors involved in rhizosphere colonization [InoculaciÛn con Azospirillum spp. en la regiÛn semi·rida-central de la Argentina: Factores que afectan la colonizaciÛn rizosfÈrica]",2006,"Handbook of Environmental Chemistry, Volume 5: Water Pollution",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947318369&partnerID=40&md5=d16eb0241f57ea445a629c8336e08975",NA,657,"8/10/2018","Article","",NA,NA,24,1,11,19,4,0.33,1,5,12,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1051","10510","2","Abril, A.Biasutti, C.Maich, R.Dubini, L.Noe, L.","Inoculation with Azospirillum spp. in the semiarid-central region of Argentina: Factors involved in rhizosphere colonization [InoculaciÛn con Azospirillum spp. en la regiÛn semi·rida-central de la Argentina: Factores que afectan la colonizaciÛn rizosfÈrica]","11-19","Query date: 2018-08-10",2006,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947318369&partnerID=40&md5=d16eb0241f57ea445a629c8336e08975","24Cited By (since 2006): 4",NA,NA,NA,"manual_download_spanish/3/v24n1a02.pdf"
"24",0,"A. Aburto-Medina, I. Ortiz, E. Hern·ndez","Prevalence of Enterobacteriaceae and contaminants survey in sediments of the Atoyac River [Prevalence of Enterobacteriaceae and contaminants survey in sediments of the Atoyac River]",2017,"Tecnologia y Ciencias del Agua",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030537994&partnerID=40&md5=96224d8e86312a0fc9af9afa9131da2f",NA,24,"8/10/2018","Article","",NA,NA,8,3,27,37,0,0,0,3,1,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","68","680","2","Aburto-Medina, A.Ortiz, I.Hern·ndez, E.","Prevalence of Enterobacteriaceae and contaminants survey in sediments of the Atoyac River [Prevalence of Enterobacteriaceae and contaminants survey in sediments of the Atoyac River]","27-37","Query date: 2018-08-10",2017,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030537994&partnerID=40&md5=96224d8e86312a0fc9af9afa9131da2f","8",NA,NA,NA,NA
"577",12,"O. Acosta, E. Custodio","Environmental impact of groundwater abstractions in the Salar del Huasco (Northern Chile) [Impactos ambientales de las extracciones de agua subterr·nea en el Salar del Huasco (norte de Chile)]",2008,"Boletin Geologico y Minero",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749084377&partnerID=40&md5=d6475e3e2575d4c3107c383e814865ff",NA,577,"8/10/2018","Article","",NA,NA,119,1,33,50,12,1.2,6,2,10,"spanish","in corpus","DOI absent","spanish.enl","EndNote","971","9710","2","Acosta, O.Custodio, E.","Environmental impact of groundwater abstractions in the Salar del Huasco (Northern Chile) [Impactos ambientales de las extracciones de agua subterr·nea en el Salar del Huasco (norte de Chile)]","33-50","Query date: 2018-08-10",2008,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749084377&partnerID=40&md5=d6475e3e2575d4c3107c383e814865ff","119Cited By (since 2008): 12",NA,NA,NA,"manual_download_spanish/5/ARTICULO 3.pdf"
"497",28,"R. Acosta, B. RÌos, M. Rieradevall, N. Prat","Proposal for an evaluation protocol of the ecological quality of Andean rivers (CERA) and its use in two basins in Ecuador and Peru [Propuesta de un protocolo de evaluaciÛn de la calidad ecolÛgica de rÌos andinos (CERA) y su aplicaciÛn a dos cuencas en Ecuador y Per˙]",2009,"Limnetica",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955005571&partnerID=40&md5=ce3267e1b9eede8d9e3cbff22a3937c0",NA,497,"8/10/2018","Article","",NA,NA,28,1,35,64,28,3.11,7,4,9,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","891","8910","2","Acosta, R.RÌos, B.Rieradevall, M.Prat, N.","Proposal for an evaluation protocol of the ecological quality of Andean rivers (CERA) and its use in two basins in Ecuador and Peru [Propuesta de un protocolo de evaluaciÛn de la calidad ecolÛgica de rÌos andinos (CERA) y su aplicaciÛn a dos cuencas en Ecuador y Per˙]","35-64","Query date: 2018-08-10",2009,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955005571&partnerID=40&md5=ce3267e1b9eede8d9e3cbff22a3937c0","28Cited By (since 2009): 28",NA,NA,NA,NA
"890",16,"V. Acosta, L. Freites, C. Lodeiros","Densidad, crecimiento y supervivencia de juveniles de Lyropecten (Nodipecten) nodosus (Pteroida: Pectinidae) en cultivo suspendido en el Golfo de Cariaco, Venezuela",2000,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005381499&partnerID=40&md5=6d6a91e6015dc6f189362c4df1f132b9",NA,890,"8/10/2018","Article","",NA,NA,48,4,799,806,16,0.89,5,3,18,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1284","12840","2","Acosta, V.Freites, L.Lodeiros, C.","Densidad, crecimiento y supervivencia de juveniles de Lyropecten (Nodipecten) nodosus (Pteroida: Pectinidae) en cultivo suspendido en el Golfo de Cariaco, Venezuela","799-806","Query date: 2018-08-10",2000,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005381499&partnerID=40&md5=6d6a91e6015dc6f189362c4df1f132b9","48Cited By (since 2000): 16",NA,NA,NA,"manual_download_spanish/7/18899-41106-1-SM.pdf"
"713",11,"J. AcuÒa-Gonz·lez, J.A. Vargas-Zamora, E. GÛmez-RamÌrez, J. GarcÌa-CÈspedes","Dissolved and dispersed petroleum hydrocarbons in four coastal environments of Costa Rica [Hidrocarburos de petrÛleo, disueltos y dispersos, en cuatro ambientes costeros de Costa Rica]",2004,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13944262568&partnerID=40&md5=135a3abe4869df5ac1a2c9cdacf06774",NA,713,"8/10/2018","Article","",NA,NA,52,NA,43,50,11,0.79,3,4,14,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1107","11070","2","AcuÒa-Gonz·lez, J.Vargas-Zamora, J. A.GÛmez-RamÌrez, E.GarcÌa-CÈspedes, J.","Dissolved and dispersed petroleum hydrocarbons in four coastal environments of Costa Rica [Hidrocarburos de petrÛleo, disueltos y dispersos, en cuatro ambientes costeros de Costa Rica]","43-50","Query date: 2018-08-10",2004,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-13944262568&partnerID=40&md5=135a3abe4869df5ac1a2c9cdacf06774","52Cited By (since 2004): 11",NA,NA,NA,"manual_download_spanish/8/26575-70552-1-SM.pdf"
"833",4,"E.O. Adema, F.J. Babinec, N. Peinemann","Nutrient losses due to water erosion in two of the pampa's caldenal [Perdida De Nutrientes Por Erosion Hidrica En Dos Suelos Del Caldenal Pampeano]",2001,"Ciencia del Suelo",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035710190&partnerID=40&md5=64f50b75a0a81a158c244250b65d97de",NA,833,"8/10/2018","Article","",NA,NA,19,2,144,154,4,0.24,1,3,17,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","1227","12270","2","Adema, E. O.Babinec, F. J.Peinemann, N.","Nutrient losses due to water erosion in two of the pampa's caldenal [Perdida De Nutrientes Por Erosion Hidrica En Dos Suelos Del Caldenal Pampeano]","144-154","Query date: 2018-08-10",2001,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035710190&partnerID=40&md5=64f50b75a0a81a158c244250b65d97de","19Cited By (since 2001): 4",NA,NA,NA,NA
"1258",0,"Manfred van Afferden, Anne M. Hansen, Franklin Torres-Bejarano","Remediation of the cencali lagoon, villahermosa, Tabasco. II. Process design",2008,"INGENIERIA HIDRAULICA EN MEXICO",NA,NA,NA,231,"8/10/2018","Journal article","",NA,NA,23,1,57,70,0,0,0,3,10,"spanish","in corpus","DOI absent","spanish.enl","EndNote","521","5210","17","Afferden, Manfred vanHansen, Anne M.Torres-Bejarano, Franklin","Remediation of the cencali lagoon, villahermosa, Tabasco. II. Process designINGENIERIA HIDRAULICA EN MEXICO","57-70","1",2008,"NA","NA","NA",NA,"INGENIERIA HIDRAULICA EN MEXICO","23",NA,"manual_download_spanish/10/document.pdf"
